Number of elements 658
     0 :  1.2465424e-01  8.5557766e-02 -1.7302378e-02
     1 : -5.2208200e-03 -1.5647638e-03  2.4275930e-03
     2 :  9.9033691e-03 -1.1392831e-02 -2.5366134e-02
     3 :  3.7952820e-09  1.6395835e-08 -4.0241746e-09
     4 :  4.4262350e-07 -9.2247544e-07 -4.6782889e-07
     5 :  1.3108367e-08 -8.3461722e-07 -2.4251348e-07
     6 :  7.2260309e-05 -5.8074125e-05  1.2451675e-05
     7 :  4.6617025e-02  1.4350240e-01  1.0439435e-01
     8 :  8.8491800e-02  1.6120637e-01  8.9566671e-02
     9 :  7.0026881e-07  3.0644443e-07 -6.4244928e-07
    10 :  1.3602539e-05 -1.0922234e-06 -2.7135916e-06
    11 : -7.2759380e-09  1.3615677e-07 -6.9895105e-08
    12 : -7.3924667e-02 -4.2030385e-02 -9.7619050e-02
    13 : -9.0133813e-05 -9.9949190e-05  1.7441007e-05
    14 : -4.3886106e-03 -4.3836047e-03 -1.5025240e-03
    15 :  7.0921598e-02  4.3240924e-02 -1.0266563e-02
    16 : -6.0156250e-02 -4.6604695e-02 -7.7404712e-02
    17 : -1.3458045e-09  8.3591712e-09 -3.0289879e-09
    18 :  2.0370317e-05  1.3852178e-04 -3.2127430e-04
    19 : -5.3597074e-05 -1.9983779e-04 -6.6256735e-05
    20 :  1.0793753e-06 -2.1508514e-06 -3.5645800e-06
    21 :  4.3843125e-02  1.2472170e-01  3.4170367e-02
    22 :  1.6813901e-05 -6.1508360e-05 -5.0842374e-05
    23 : -2.4328670e-01 -3.0699326e-01 -4.5800080e-01
    24 : -4.9348964e-02 -1.1301203e-01 -1.4617577e-01
    25 : -1.6126242e-02 -1.1263520e-01 -6.2241473e-02
    26 :  1.3185295e-01  2.4008237e-01  1.6555559e-01
    27 :  2.3367808e-07 -2.7437856e-07 -1.8472253e-07
    28 :  6.5718146e-04  1.6009173e-03  4.2548319e-04
    29 : -4.1905126e-01 -3.0563875e-01 -2.4895917e-01
    30 : -1.0244195e-07 -8.6880163e-08  5.2213136e-07
    31 :  2.5725048e+00 -4.3627459e+00  7.2377705e-01
    32 : -6.0838461e-02 -7.2347238e-02 -4.7560049e-02
    33 :  6.5902043e-02  5.2696368e-03 -5.3226735e-04
    34 :  1.6794622e-04  1.2664212e-04 -1.3088701e-05
    35 : -2.6775177e-09  1.1840597e-08  5.0961814e-09
    36 : -8.0415088e-02 -6.5083518e-02 -5.9649515e-02
    37 :  7.6506496e-02  7.7373231e-03  7.6002013e-02
    38 :  7.9962521e-01 -3.9044224e-01 -6.3115883e-01
    39 : -1.8162538e-02  1.4534336e-02  4.9681403e-02
    40 : -7.1933995e-05 -7.7548090e-05 -1.4078557e-04
    41 : -8.6345324e-03 -2.6490549e-02 -2.1581929e-02
    42 :  1.6638663e-07 -6.6791546e-07  1.5406419e-07
    43 :  5.1571324e-02  1.0025286e-01  3.7076189e-02
    44 : -3.7345519e-01 -2.4652402e-01 -3.4619188e-01
    45 :  1.1266508e-01  4.6386047e-02  1.3050843e-02
    46 : -9.2398355e-03 -1.9234581e-03 -9.2975124e-03
    47 :  6.2048370e-09 -6.1689062e-09  1.1195196e-08
    48 : -3.1777275e-03  1.7151564e-03 -5.2967197e-03
    49 : -1.8482767e-01 -2.1343419e-01 -2.0012502e-01
    50 :  2.0814332e-03 -6.9090882e-03 -3.0061816e-03
    51 :  2.2166027e-01  2.2341318e-01  1.5715615e-01
    52 :  3.1035235e+00 -5.3729163e+00  2.4398325e+00
    53 : -7.4561444e-03 -1.4157493e-03 -8.3888210e-03
    54 : -3.6685521e-04 -1.0355655e-01 -1.7319225e-01
    55 : -3.5488953e-02 -1.1713563e-01 -9.8244197e-02
    56 : -9.1074811e-02 -1.8226816e-01 -8.5083662e-02
    57 :  2.4422686e+00 -3.5183591e+00  2.5501054e+00
    58 : -4.3007605e-10 -8.3630007e-10  2.4526382e-09
    59 :  1.9106739e-01  1.1138792e-01  9.6158862e-02
    60 :  6.6880388e-02  5.1049895e-02  5.5114919e-02
    61 : -9.6612766e-02 -1.2048438e-01 -2.1209267e-02
    62 : -1.5966235e-05 -1.3280488e-04  2.0251559e-05
    63 : -8.6819349e-02 -1.1410764e-01 -5.2597946e-03
    64 : -4.2976074e-05 -2.2147380e-04 -5.6092948e-05
    65 :  2.4401970e-01  1.5681079e-01  1.5204072e-01
    66 :  7.2442320e-05 -1.1127406e-05 -3.5841891e-05
    67 : -1.0022058e-01 -9.5977831e-02 -8.3586839e-02
    68 : -1.2632689e-01 -3.6874628e-02 -1.4717993e-01
    69 : -2.5134745e-02  3.6355754e-02 -2.3047352e-02
    70 :  5.6024008e-03 -1.2551982e-03 -6.2911686e-03
    71 :  7.7051106e-02  1.3304506e-01  3.7289049e-02
    72 :  1.7199519e-01  1.1448013e-01  1.0800726e-01
    73 :  2.1485881e-01  8.0522756e-02  4.9438338e-02
    74 :  1.9742066e-07 -3.2522637e-08  9.3852796e-08
    75 :  3.4295068e-07  9.8387330e-07 -6.0677912e-07
    76 : -3.0581892e-04  2.0660037e-02  3.7600635e-02
    77 : -5.8844889e-05  2.2131360e-05 -1.0587389e-04
    78 :  1.7514073e-03 -8.5385780e-05  1.9776522e-03
    79 :  2.8869952e-07  3.4649082e-07 -1.0950433e-06
    80 : -3.7461224e-08 -5.2304398e-08  5.2991253e-09
    81 :  5.8436404e-04 -8.9091700e-04  1.2861548e-03
    82 : -5.5367151e-08  7.1812651e-08 -1.4761605e-07
    83 : -1.9195493e-04  1.2424922e-04  5.9070760e-04
    84 :  1.5777684e-01  1.1356840e-01  9.9459753e-02
    85 :  6.7166701e-02  1.2393697e-02  1.7312797e-01
    86 : -1.1329384e-07 -2.4410118e-06 -1.1312790e-06
    87 :  6.1033799e-05  2.4266859e-06  2.9905042e-05
    88 : -1.2762454e-01 -1.0482580e-01 -1.2586807e-01
    89 : -7.3534376e-03  4.5475480e-04 -1.8111040e-03
    90 :  9.7944386e-02  9.1280045e-02  1.2619313e-01
    91 : -7.0847757e-02 -2.1663998e-01 -2.3709576e-01
    92 : -5.2172783e-03  1.6713003e-03 -1.0448022e-03
    93 :  6.9224907e-02  2.7724320e-02  1.0891803e-01
    94 : -9.7818757e-02 -7.3209596e-02 -1.7789764e-01
    95 : -9.7487291e-02 -1.8694499e-01 -1.8349295e-01
    96 :  3.3346066e-04  5.7434676e-05  5.5356416e-04
    97 : -3.4314229e-02 -1.1626784e-01 -1.1281553e-01
    98 :  1.3379613e+00 -1.1679973e+00  8.0010505e-01
    99 :  1.1808233e-04 -5.7139966e-04 -4.7959965e-04
   100 : -2.9550261e-05 -1.4754775e-04 -1.8705840e-04
   101 : -5.5630699e-03 -5.2990882e-03 -3.4845609e-03
   102 : -1.1440612e-01 -1.1688865e-01 -1.3064550e-01
   103 :  1.8097329e+00 -4.0587471e+00  2.1188978e+00
   104 : -9.6963938e-03  2.5971977e-03  7.7578835e-02
   105 :  8.7246545e-05 -1.3099272e-05 -5.8880064e-05
   106 : -2.7065978e-02  5.5130293e-02 -2.2772889e-02
   107 : -3.1885482e-05  7.5208982e-05  9.0050849e-05
   108 :  1.3610937e-05 -7.3744947e-06 -1.6745876e-06
   109 : -4.2866164e-05 -1.6225386e-04 -1.6153433e-04
   110 :  1.4924360e-01  1.3650789e-01  5.3762563e-02
   111 : -7.6900674e-04  3.4292869e-04  2.2304192e-04
   112 :  1.3127595e-02  7.8735885e-02  1.4608955e-01
   113 :  2.8322571e-02  5.0522243e-02  1.0790135e-01
   114 : -2.7463311e-02 -2.7939589e-02 -1.2526130e-01
   115 :  6.4817417e-02 -9.0073722e-02 -2.4020047e-01
   116 : -4.3548392e-05 -1.9119408e-04 -1.7433879e-04
   117 :  7.9801865e-03  7.1330434e-02 -1.2957701e-02
   118 : -4.7811116e-02 -4.3737312e-02 -3.0055499e-02
   119 :  1.0694556e-05  3.7933835e-03 -4.0137237e-03
   120 : -2.7495068e-01 -2.5727245e-01 -2.5378131e-01
   121 :  2.8535868e-06  3.7843156e-06 -2.6211761e-06
   122 : -4.9552582e-01 -5.0300279e-01 -4.1612235e-01
   123 : -6.2395048e-02 -7.2998946e-02 -4.5619908e-02
   124 :  9.6762742e-02 -1.1251353e-01  2.2667972e-01
   125 : -4.4167550e-06  1.4902977e-05 -3.7916839e-06
   126 :  5.6126421e-04  2.0929865e-03 -7.3670494e-04
   127 :  5.4525557e-06 -1.8329365e-05  1.0055892e-05
   128 : -1.6538360e-04  3.7665210e-04 -9.2028489e-04
   129 : -7.5351107e-02 -7.4540705e-02 -7.3913888e-02
   130 : -1.8492888e-04 -1.0322497e-04 -5.0201350e-04
   131 :  9.3586290e-02 -9.0403143e-02 -1.6580420e-01
   132 : -1.2168659e-06 -4.1214019e-06  3.0081535e-06
   133 : -4.9274702e-06 -3.2272855e-06  1.5677226e-05
   134 : -1.0454588e-01 -8.1558535e-02 -6.1463424e-02
   135 :  3.3448986e+00 -3.7950010e+00  3.9834569e+00
   136 : -3.9774221e-03  1.0116755e-02 -8.2050355e-03
   137 : -1.3667825e-08 -4.8846824e-09  1.8141198e-08
   138 : -1.6713824e-07  2.9986982e-07 -7.8774816e-07
   139 :  1.0465443e+00 -2.3746027e+00  2.3855608e+00
   140 :  4.1490052e-03 -5.2735079e-03  2.2641106e-03
   141 :  7.7728492e-05 -3.5710398e-04  1.0895009e-04
   142 :  1.3069942e-02 -9.8058742e-02 -3.9958001e-02
   143 : -7.5402461e-05 -4.7560626e-05 -5.1973786e-05
   144 : -1.1027359e-03 -4.4050773e-03 -9.3925761e-03
   145 :  5.4727957e-07 -9.8181505e-08  4.7937358e-07
   146 :  8.8312014e-02  3.8685317e-02  1.0462089e-01
   147 : -5.9594750e-02 -5.5804683e-02 -5.6976103e-02
   148 :  9.4740774e-06 -7.0232736e-06 -5.3915179e-05
   149 :  8.1621488e-02  2.2603097e-01  1.0480471e-01
   150 : -4.2534313e-05 -5.7242215e-05  6.2906372e-05
   151 : -1.1832792e-01 -7.2030662e-02 -1.1443587e-01
   152 : -9.7162897e-08  4.6014250e-08 -2.9099514e-09
   153 :  4.8627549e-02  4.4730276e-02  3.1049243e-02
   154 :  4.9297292e-04  1.4315715e-04 -4.6780386e-04
   155 : -7.4780680e-03 -8.2196652e-03 -5.1222585e-04
   156 : -3.1651635e-05 -5.5289569e-05  3.1575094e-05
   157 :  1.0549574e-01  6.9843596e-02  1.1979288e-01
   158 : -4.3647452e-02 -5.4196050e-02 -9.1955921e-02
   159 : -1.6579557e-04  9.7373541e-05  2.4879716e-04
   160 : -1.6877072e-02 -1.1217567e-01 -7.8938581e-02
   161 : -4.3682732e-01 -6.2151235e-01 -6.2249675e-01
   162 : -8.9173898e-02 -1.0323921e-01 -1.5318674e-01
   163 : -3.7912227e-02 -9.5954689e-02 -1.3677957e-01
   164 :  2.5913213e+00 -3.8488485e+00  3.2194798e+00
   165 : -6.9231304e-03 -1.7107195e-01 -4.6426587e-02
