Number of elements 658
     0 :  2.0443360e-02  1.8962940e-02 -1.2281466e-02
     1 : -2.9911950e-05 -3.6910144e-03 -1.9098720e-03
     2 :  6.5253357e-05  2.2762153e-03  5.4500737e-04
     3 :  2.6161998e-10 -1.8466129e-09  5.0489733e-10
     4 : -5.2379364e-08  1.2763145e-07 -4.8701708e-09
     5 :  1.7892692e-07  1.3002134e-08  1.3918272e-07
     6 : -1.5215791e-05 -2.0072014e-05 -2.7385088e-05
     7 :  6.1197384e-02  2.0440327e-01  1.4152856e-01
     8 :  7.4034253e-02  2.0507106e-01  8.0724133e-02
     9 : -9.8257146e-08 -4.7970866e-09  8.0065516e-09
    10 : -1.7808788e-06  5.6437363e-07  3.3808797e-07
    11 : -3.6221495e-09 -1.3598093e-08  1.5973865e-08
    12 : -1.4883255e-01 -9.8199318e-02 -1.2967909e-01
    13 : -1.8437009e-05  2.0831118e-05  5.8451694e-06
    14 : -3.4762149e-03  1.5488438e-03  1.0618881e-03
    15 :  1.0559470e-02  1.5655311e-01  1.4069757e-01
    16 : -3.1637717e-02 -1.4530791e-02 -6.0175828e-02
    17 :  2.2062541e-10 -3.4890241e-10  5.4075460e-11
    18 : -3.0112316e-05 -2.4329621e-05  4.3947772e-05
    19 : -1.5044106e-05  3.2850178e-05 -4.8051808e-06
    20 : -2.3573739e-07  2.0515275e-07  5.5992705e-07
    21 :  6.6118050e-02  1.7527947e-01  4.0205609e-02
    22 : -4.5067531e-05  2.0472395e-05  1.6294685e-05
    23 : -1.6524570e-02 -1.2162366e-01 -2.6803699e-01
    24 :  1.7857646e-02 -1.5908255e-01 -1.7369953e-01
    25 :  1.6540141e-02 -9.5564804e-02 -3.9257519e-02
    26 :  2.8274845e-02  2.4829259e-01  1.5097386e-01
    27 : -1.0422649e-08 -1.0256915e-08 -2.6072975e-09
    28 :  8.2210655e-05 -3.5332745e-04 -1.6863145e-04
    29 : -2.8195604e-01 -4.7890465e-01 -3.0370595e-01
    30 :  9.3556904e-09  1.3350521e-08 -4.1512150e-08
    31 :  3.1180640e+00 -4.2821183e+00  1.5421679e+00
    32 : -4.8151578e-02 -8.4099769e-02 -4.9344131e-02
    33 :  1.1146864e-02 -7.6221584e-03 -7.2717627e-03
    34 : -3.2394701e-05 -1.8150564e-05  9.3366974e-06
    35 : -1.3584237e-09 -1.1263034e-09  6.3293901e-10
    36 : -7.5038633e-02 -4.4488210e-02 -2.5056260e-02
    37 :  1.9006106e-02 -1.0555326e-02 -4.2226189e-03
    38 :  6.9763317e-01 -1.9280819e-01  1.9500550e-01
    39 : -9.2976931e-04 -1.4900640e-02 -6.3211589e-03
    40 :  2.7798833e-05  5.0301421e-05  6.8779362e-05
    41 :  1.3315361e-01  1.5721158e-02  3.0375073e-02
    42 : -6.3809432e-09  1.6686567e-08 -2.9354522e-09
    43 :  1.9286487e-01  6.4533882e-02 -4.0999736e-03
    44 : -4.8518105e-01 -5.0792577e-01 -2.9931154e-01
    45 :  6.0344799e-02  2.2454129e-01  7.8858450e-02
    46 :  4.2467503e-04  1.2533081e-03  1.4370375e-03
    47 :  8.1461481e-11  2.6058341e-10 -6.4174697e-10
    48 :  1.7989435e-03 -3.6261766e-04  9.7668812e-04
    49 : -3.6130935e-01 -3.1603636e-01 -2.5251280e-01
    50 : -4.8155108e-03  2.2752561e-04  4.8721132e-04
    51 :  3.2951790e-01  2.3566471e-01  1.4840538e-01
    52 :  2.6677450e+00 -3.9109669e+00  2.6382444e+00
    53 :  1.0151135e-03  1.1077810e-03  6.0912531e-04
    54 : -1.0029586e-01 -2.1167567e-01 -2.1752584e-01
    55 : -6.0689370e-02 -2.4065246e-01 -1.8005146e-01
    56 :  1.2318927e-02 -1.5534507e-01 -1.8654683e-02
    57 :  2.0952158e+00 -1.7315846e+00  1.6722067e+00
    58 :  4.8388916e-11  5.6743124e-11 -1.8978068e-10
    59 :  2.5376689e-01  1.3276661e-01  1.6299962e-01
    60 :  1.5958783e-01  1.2994899e-01  1.5234358e-01
    61 :  1.1750940e-01 -1.0822963e-02  1.0814793e-01
    62 :  3.1871612e-06  2.3846057e-05 -4.5768033e-06
    63 : -7.1382480e-02 -1.0458814e-01  1.1124511e-02
    64 : -2.0918448e-05  4.9727093e-05 -1.5467651e-05
    65 :  1.7224676e-01  1.0493062e-01  9.1683395e-02
    66 :  6.3984071e-06 -2.9531759e-05 -3.0344296e-05
    67 : -7.4947296e-02 -1.3431952e-01 -9.4420318e-02
    68 : -1.4806960e-01 -1.2309342e-01 -1.9356124e-01
    69 :  2.2514673e-02 -7.6946432e-02 -3.9572070e-03
    70 : -5.9338067e-03 -6.9687338e-03  2.5329501e-04
    71 :  9.7611050e-02  1.5611339e-01  4.9897546e-02
    72 :  1.1198400e-01  1.6473536e-01  4.5341194e-02
    73 :  1.2925125e-01  3.4382659e-02  1.4194794e-02
    74 : -1.4735928e-08 -2.8447102e-08  3.2581911e-09
