Number of elements 658
     0 : -1.6504813e-03  3.0296154e-03 -4.5275130e-03
     1 :  8.2228374e-04 -1.2617419e-03 -1.5901468e-03
     2 : -1.6534254e-03  1.0884217e-03  2.8238534e-03
     3 :  9.2183123e-11 -6.9203641e-11  1.3734249e-11
     4 :  1.6785180e-09 -2.2733633e-09 -9.9660693e-09
     5 :  3.1401814e-08 -2.7679324e-08  2.7583806e-08
     6 :  8.1819861e-06 -2.2789259e-06  7.1243210e-06
     7 :  1.1339380e-02  2.1637602e-01  1.3261067e-01
     8 :  4.5633084e-02  1.7680557e-01  4.8210215e-02
     9 :  8.5895580e-09  8.3459085e-09 -3.0297606e-08
    10 :  4.1265035e-07  1.1972699e-07 -9.9756985e-08
    11 :  5.0284050e-09 -5.9164377e-09 -4.4084752e-09
    12 : -2.1982513e-01 -1.4898870e-01 -1.9849418e-01
    13 :  3.9196953e-05  1.6128439e-05 -1.9025557e-05
    14 :  4.5840372e-04  6.1236884e-04  2.2823958e-04
    15 : -1.9370125e-02  1.1188289e-01  7.7063446e-02
    16 :  7.9391759e-03  1.8146130e-02 -3.4528847e-02
    17 :  1.1617264e-11  4.0480543e-11 -2.2086020e-11
    18 : -7.3095280e-06  5.2497249e-06 -2.6689096e-05
    19 :  6.5843009e-07 -2.2071595e-05 -3.4262363e-06
    20 :  7.5852290e-09 -6.2923382e-08 -2.9169718e-08
    21 :  6.9506369e-02  2.0085659e-01  6.7876412e-02
    22 :  3.3720094e-05  2.6926022e-06  2.7094315e-06
    23 :  6.1002111e-02  3.6334789e-02 -1.2373947e-01
    24 :  9.1464834e-02 -8.1261759e-02 -1.1267962e-01
    25 :  7.5266308e-02 -6.1538641e-02  1.9378185e-02
    26 : -2.3859011e-02  2.0854222e-01  1.1660608e-01
    27 :  6.0334608e-09 -5.7522694e-09 -2.4498733e-09
    28 : -2.8568148e-04 -5.8365541e-05  8.1706483e-05
    29 : -4.2931104e-02 -5.4407562e-01 -2.8123542e-01
    30 : -9.4450835e-10 -9.6897193e-10  6.3784267e-09
    31 :  3.0561973e+00 -3.6867974e+00  1.9089841e+00
    32 :  2.7004534e-02 -5.7863128e-02 -2.8480152e-02
    33 : -1.2038639e-02 -6.4593892e-04  8.7573593e-04
    34 :  3.3223221e-06  4.0413251e-06  8.5107047e-07
    35 : -2.1616519e-10  1.3139990e-12  1.2516723e-10
    36 : -6.5352367e-02 -1.7067554e-02  2.0800440e-02
    37 : -1.1548623e-02 -2.3366967e-03 -1.4317342e-02
    38 :  4.8391226e-01  4.7624967e-02  6.9715477e-01
    39 :  3.6465014e-03 -8.4689057e-03 -1.2395399e-02
    40 : -1.7374409e-05  2.4755389e-05 -9.8336222e-06
    41 :  1.8394262e-01  3.2898744e-02  4.0399485e-02
    42 :  4.4139454e-09 -2.8300018e-08  4.2721501e-09
    43 :  2.8414573e-01  1.3913309e-01  1.5461841e-01
    44 : -4.7433950e-01 -6.5781193e-01 -8.3402057e-02
    45 :  4.0820725e-02  1.8251870e-01  4.4196312e-02
    46 :  2.2250445e-03 -4.3793832e-04  1.8624705e-03
    47 :  9.3730787e-11 -4.3855646e-11  5.0594842e-11
    48 : -4.4026013e-04 -2.1255436e-04  5.8576863e-04
    49 : -3.6477664e-01 -2.7984498e-01 -1.9388957e-01
    50 : -3.0550192e-03  1.0583522e-03  6.4828410e-04
    51 :  2.5705717e-01  2.9477180e-01  1.8176122e-01
    52 :  2.1769270e+00 -2.6443568e+00  2.2926256e+00
    53 :  1.1203608e-03 -4.0904460e-04  1.7820152e-03
    54 : -1.3736532e-01 -2.4505480e-01 -2.0172596e-01
    55 : -5.0955385e-02 -2.6520615e-01 -1.9415727e-01
    56 :  1.0982106e-01 -3.0704810e-02  2.2837696e-02
    57 :  1.7084802e+00 -7.3517979e-01  1.0508583e+00
    58 :  4.5566466e-12  7.7096712e-13 -6.9589751e-12
    59 :  2.9771590e-01  1.3720715e-01  1.6693775e-01
    60 :  2.2979617e-01  1.7646963e-01  2.4547191e-01
    61 :  2.0721201e-01  3.5313443e-02  9.4210154e-02
    62 : -3.4450344e-06  1.9070167e-06 -1.6083548e-06
    63 : -3.8692738e-02 -5.9617980e-02  6.5751538e-02
    64 :  2.7809129e-06 -2.7630869e-05  8.1592892e-07
    65 :  2.0317670e-01  1.4530279e-01  1.1871769e-01
    66 :  5.1302915e-07  7.2633951e-06  5.7878370e-06
    67 : -6.3354925e-02 -1.4265324e-01 -1.0001411e-01
    68 : -1.2011643e-01 -1.3652718e-01 -2.1805071e-01
    69 :  8.9932910e-02 -5.2107838e-03  2.5174603e-02
    70 : -3.9020895e-03 -1.5725598e-03  1.3209391e-03
    71 :  1.1188494e-01  1.9711040e-01  6.5069415e-02
    72 :  1.0523857e-01  1.3780595e-01  4.7091740e-02
    73 :  5.9074153e-02  8.5832388e-03  2.5643848e-03
    74 :  1.1881273e-09 -2.7772919e-09  3.3539956e-09
    75 :  7.6472988e-09  1.4286714e-08 -7.6131493e-09
    76 :  9.2293769e-02  9.5223251e-02  2.9995099e-02
    77 : -6.6985825e-07 -3.4310401e-06 -3.7615361e-06
    78 :  5.3762649e-05  8.6731719e-05 -2.6452420e-04
    79 :  2.0326376e-09 -2.9952135e-10 -7.6095291e-09
    80 : -6.1630081e-10  9.1345960e-10 -9.9738323e-11
    81 :  9.9433532e-05 -3.7748966e-05  1.2793426e-04
    82 : -6.9035787e-10  5.7189909e-10 -1.3280178e-09
    83 :  6.1195191e-06 -7.4217239e-06  9.8737765e-06
    84 :  1.3236683e-01  1.5557547e-01  9.0107272e-02
    85 : -8.6091188e-03 -1.0182950e-02  1.8966102e-02
    86 : -2.1695782e-08 -1.8562061e-08  8.8343091e-09
    87 : -9.0217502e-07  4.0072050e-06  9.8465424e-07
    88 : -2.1643878e-01 -1.8722682e-01 -1.3356797e-01
    89 :  1.0274549e-03 -1.7426971e-04  2.0764654e-04
    90 :  1.7494706e-01  1.1370699e-01  1.5287702e-01
    91 : -2.8037157e-01 -3.8360214e-01 -2.4353297e-01
    92 :  5.4191212e-04 -1.2551094e-04 -3.4027835e-04
    93 :  9.5344563e-03 -6.3008212e-03  5.7674471e-02
    94 : -8.9212798e-03 -2.4512290e-02 -2.1208116e-01
    95 :  1.3534419e-01  1.1763011e-01  1.4668062e-02
