Number of elements 658
     0 :  3.2595813e-05  1.5167195e-05 -3.0942669e-06
     1 :  5.2667945e-06 -7.2020796e-06 -1.0457960e-05
     2 : -6.1006166e-08  2.3875995e-08  1.1091148e-07
     3 : -2.3727394e-20  6.0680054e-20 -1.6419152e-20
     4 : -1.7577239e-15  1.9059254e-15  1.8621951e-15
     5 : -3.6746767e-14  1.2643958e-14  3.6990525e-15
     6 : -1.3582594e-12  4.1027842e-12 -1.9929052e-12
     7 :  3.6541382e-04 -5.0791428e-04 -2.2679200e-04
     8 :  9.0524773e-04 -8.6009680e-04  1.8491376e-03
     9 : -5.9558877e-16 -4.7041608e-16  1.6745651e-15
    10 : -1.8988538e-13 -4.3484006e-14  1.0565038e-13
    11 : -7.1022178e-17  3.0174953e-16 -1.5239419e-16
    12 :  5.8141302e-01  6.5548733e-01  6.7502554e-01
    13 : -4.7783158e-10 -4.2225470e-10  4.0485241e-10
    14 :  6.1299840e-06 -9.9290152e-07 -1.7350847e-06
    15 :  1.5365172e-02  2.2043734e-01  1.9809464e-01
    16 :  3.6697902e-01  1.0737241e-01  1.8451366e-01
    17 : -4.8050036e-21 -2.8483759e-22  3.2587577e-21
    18 : -3.0982373e-11  8.1797801e-12  1.3568006e-11
    19 : -9.3838986e-12  1.6384931e-11  1.0749154e-11
    20 : -6.7186773e-15  1.4260637e-14  1.1577143e-15
    21 :  3.7480884e-03  6.5232826e-03  3.2429340e-04
    22 :  5.0145310e-10  3.4975369e-10 -2.7661974e-10
    23 :  2.2035291e-01  5.5168950e-01  8.8088381e-01
    24 :  6.6129302e-01  3.5022990e-01  1.6755930e-01
    25 :  2.8653501e-01  1.7440158e-01  5.2158023e-01
    26 : -1.4440917e-04  2.8599780e-04  5.0022398e-05
    27 : -4.6414405e-16  3.5184026e-16  9.0477997e-16
    28 :  3.0188991e-08  1.0928375e-09 -1.1423300e-08
    29 :  3.0926343e-01  8.8041556e-01  6.6179555e-01
    30 : -4.3215171e-18  1.1323430e-17 -6.7578785e-18
    31 : -2.7573447e-01  6.1371906e-01  3.3597979e-01
    32 :  3.4239042e-01  5.9765309e-02  4.6945125e-02
    33 :  1.4893508e-06 -1.1337486e-07 -9.0744561e-07
    34 : -8.5530463e-12 -6.1844467e-13  3.5272569e-12
    35 :  2.3830888e-19  2.3373245e-20 -1.2391253e-19
    36 :  2.7608545e-01  2.8384976e-01  5.5069029e-01
    37 :  1.2155132e-05 -5.5043828e-06  2.3309730e-06
    38 : -1.0461713e-01  2.9450804e-01  1.4513551e-01
    39 :  5.9339736e-06 -3.8830439e-05  1.0106778e-05
    40 :  8.4664424e-11 -3.6294600e-11 -2.3393251e-10
    41 : -1.4448280e-02 -1.5271744e-02 -2.3576491e-02
    42 : -1.8772983e-16  5.5125064e-16 -9.8966126e-17
    43 : -1.8381322e-03 -4.2195523e-04  3.6348719e-03
    44 :  6.5480053e-01  7.7133564e-01  2.0811059e-01
    45 :  2.2933057e-02  2.0569531e-01 -2.9171084e-02
    46 : -6.7391437e-07  1.6766883e-07  3.3924481e-09
    47 : -3.9363865e-20  2.0954855e-20 -5.5114911e-21
    48 :  1.6453238e-07 -1.7522662e-08 -1.2803285e-07
    49 :  8.8580374e-01  9.9781573e-01  3.7196726e-01
    50 : -1.1837783e-05 -3.6864387e-06  3.3552632e-06
    51 :  1.9488509e-03 -8.9411587e-03 -2.2930923e-03
    52 : -1.5113579e-02  5.7510264e-02 -5.9104093e-02
    53 : -3.7603739e-07  2.8903106e-07 -6.2769432e-07
    54 :  3.6005716e-01  8.0391612e-01  8.1696826e-01
    55 :  8.1744515e-01  6.0744056e-01  3.1858730e-01
    56 :  7.1187735e-01  4.3139027e-01  4.1270199e-01
    57 : -1.1030871e-01  2.6643102e-01 -9.2227914e-02
    58 :  7.1698618e-23  7.3188257e-23 -2.2261526e-22
    59 :  1.0603155e-03  7.5832340e-04 -6.3332183e-04
    60 :  2.2359562e-04 -1.7984514e-03 -2.0374150e-03
    61 :  8.1191521e-01  3.4872642e-01  2.6671546e-01
    62 :  2.6081353e-11 -3.8986399e-11  6.7032849e-12
    63 :  1.5534543e-01  4.5732791e-01  4.6787015e-01
    64 : -3.9938802e-12  8.2708460e-12 -2.4283088e-12
    65 : -5.6217337e-03 -1.4810867e-03 -3.7504107e-03
    66 :  9.8594100e-13 -1.1738149e-12 -1.2969742e-12
    67 :  7.8064043e-01  2.6312893e-01  6.1247244e-02
    68 :  7.8546126e-01  5.1372767e-01  7.5099400e-01
    69 : -3.7014067e-02  1.0188718e-02 -1.4422526e-02
    70 : -2.1063687e-05  4.1186068e-05 -2.7430862e-06
    71 :  3.5597895e-03 -1.2735331e-04 -1.2751766e-03
    72 :  5.3914148e-03 -3.1634899e-02 -5.2300511e-03
    73 :  2.3720101e-04 -1.5298904e-04 -3.1928861e-04
    74 : -9.1096337e-17  1.4598474e-16 -4.7938509e-17
    75 :  6.5215391e-17 -2.4600850e-17 -1.9010322e-17
    76 :  3.5243642e-04  9.1773278e-03  4.9045447e-03
    77 :  8.7835125e-11 -1.3770865e-11 -7.1836520e-11
    78 :  1.5846231e-09  2.2308057e-10 -1.4782005e-09
    79 :  9.4628248e-16 -2.3505848e-16 -1.7971017e-15
    80 :  2.3001886e-18 -3.2660019e-18 -4.6054799e-20
    81 :  1.6740532e-10 -2.4772369e-10  3.7440407e-10
    82 : -1.0054463e-19 -7.4681959e-19  1.6617412e-18
    83 : -5.2273512e-11 -9.3181541e-11  2.3301571e-10
    84 :  2.0914727e-03 -7.9720871e-03  6.9776700e-03
    85 :  4.7416633e-05 -8.0919910e-05  4.2978903e-04
    86 :  2.8667247e-15  5.9060894e-15 -1.1537693e-14
    87 : -7.2821095e-13  2.9037040e-12 -8.5005609e-13
    88 :  7.3267548e-01  9.1852922e-01  8.6406021e-01
    89 : -1.9649022e-06  4.1545031e-07  3.6441552e-07
    90 : -7.2998394e-03  4.7895149e-04  5.5364032e-03
    91 :  4.0056340e-01  9.4789907e-01  4.0460569e-01
    92 : -1.1687988e-07 -1.4168559e-08  9.9902012e-08
    93 :  1.6439349e-05  3.4229496e-05  1.1315325e-04
    94 :  5.4914473e-01  8.2831564e-01  3.9676358e-01
    95 :  3.0109228e-01  7.4134341e-01  4.5573996e-01
    96 :  5.8053861e-09  1.0150071e-08 -1.9679946e-08
    97 :  5.6779473e-01  7.8504962e-01  5.6034543e-01
    98 :  5.1926625e-03  4.0716816e-05 -7.0070946e-04
    99 : -1.3575526e-10  2.4329555e-10  1.4042439e-10
   100 : -3.1974424e-10  2.0102493e-10 -2.6504572e-10
   101 :  3.9897974e-07 -5.3114131e-07 -9.4722533e-07
   102 :  7.0452542e-01  7.9231057e-01  9.9919694e-01
   103 : -8.9184947e-02  3.2937427e-01 -1.4679657e-01
   104 : -9.4878156e-06 -1.7163803e-05  3.8338034e-05
   105 : -9.5876616e-14  6.7149803e-14  1.7123046e-14
   106 : -5.0578847e-06  1.2257876e-05  1.8872241e-05
   107 : -6.9737109e-14  1.0292836e-13  1.0190126e-14
   108 :  1.9233652e-13 -1.1702539e-13 -3.2247224e-14
   109 : -2.0583288e-10  3.5775274e-11  7.7500715e-11
   110 :  2.2209092e-03 -2.1698099e-03  1.4251484e-03
   111 :  1.3174926e-10 -7.8559334e-11  5.7664221e-11
   112 :  9.9797335e-05 -6.4935879e-05 -1.4203248e-04
   113 :  8.4846623e-03 -5.8401869e-03 -1.3790965e-02
   114 :  2.6928166e-01  6.3834382e-01  9.9577016e-02
   115 : -9.0092497e-02  1.1811542e-01  3.5216984e-01
   116 : -1.1539736e-11  2.1279709e-11  1.9074889e-11
   117 :  4.2257166e-05 -1.0071155e-04  1.9198475e-05
   118 :  7.5841476e-02 -2.5693522e-02  6.8397248e-03
   119 : -9.9401032e-09  1.3921697e-08 -2.4304889e-08
   120 :  7.2930979e-01  3.8555186e-01  9.8235305e-01
   121 :  4.9401229e-13  6.0671293e-14 -2.2506660e-13
   122 :  7.0423355e-01  1.2389386e-01  4.4267373e-01
   123 :  4.4398281e-02  2.9038112e-01  1.0787645e-01
   124 : -6.2748768e-06 -5.6830685e-06  1.9360752e-05
   125 : -1.3936180e-13  2.3973539e-14  4.2014366e-14
   126 : -2.6449811e-08  7.4331167e-08 -2.2204752e-08
   127 :  7.2151550e-12 -6.8618138e-12 -1.5910481e-12
   128 :  2.6746762e-08 -1.2359311e-07  3.4213799e-08
   129 :  5.9524084e-02  7.3334473e-02  6.3653851e-01
   130 : -1.7682497e-10 -1.1754968e-11  2.2261220e-10
   131 : -1.0763416e-01  3.3215133e-01  5.9472363e-01
   132 : -4.3672302e-13  1.6496542e-12 -6.7594963e-13
   133 :  2.7383257e-16 -6.8301052e-17 -1.3038037e-16
   134 :  1.3632155e-01  1.2816103e-01  5.6241301e-01
   135 : -5.4940093e-02  7.8518106e-02 -3.7626643e-02
   136 :  2.6059988e-08  9.6707194e-06 -6.6893199e-06
   137 :  2.5000963e-21  1.1079680e-21 -4.4356928e-21
   138 :  1.7598115e-14 -2.5382908e-14 -1.0926792e-14
   139 : -9.6382565e-04  3.1345263e-03 -9.2771356e-04
   140 : -1.0425063e-06  1.9711245e-06 -4.9578055e-07
   141 : -3.2135027e-11  3.2530434e-11  2.9494501e-12
   142 : -8.0281612e-02  1.8010051e-03  2.8914074e-01
   143 :  3.8166377e-10 -2.3899916e-10  1.3926065e-10
   144 : -2.6202493e-08 -3.0819523e-08  1.2313253e-07
   145 : -1.4326902e-19  5.8024654e-17 -1.4224376e-16
   146 :  1.2229202e-03 -2.4765546e-04 -3.4646414e-03
   147 :  7.0507261e-01  2.5266167e-01  2.0958818e-01
   148 : -1.2965278e-12  3.0450706e-12 -6.5150001e-13
   149 : -7.5491801e-04  9.6697174e-04  4.0884686e-04
   150 :  4.8735550e-12  7.7604349e-12 -4.4352206e-12
   151 :  6.7866631e-01  5.8716623e-02  7.7725017e-01
   152 : -3.5328700e-19  1.2352450e-19  1.0702015e-19
   153 : -2.8832086e-02  2.7870007e-03  8.4926914e-04
   154 :  4.5787100e-11 -1.2880011e-10  2.8766106e-10
   155 : -5.9368571e-07 -3.5868758e-06  1.2112038e-06
   156 : -2.7134510e-12  3.1721042e-12 -2.1221921e-13
   157 : -4.6789753e-02 -2.0621819e-02 -4.1328402e-04
   158 :  6.0604434e-01  6.4603854e-01  4.9614889e-01
   159 :  1.2941654e-09  2.7929473e-09 -5.2772492e-09
   160 :  1.9950784e-01  2.5624118e-01  6.2088078e-01
   161 :  5.5001253e-01  3.7842045e-01  1.7305661e-01
   162 :  6.6879514e-01  7.4914406e-01  8.3401004e-01
   163 :  4.0456633e-01  2.4784334e-01  6.8884500e-01
   164 :  8.0732559e-03 -1.8722766e-02  4.6739636e-03
