Number of elements 658
     0 : -2.2745389e-04 -3.6795715e-04  2.5208748e-04
     1 : -2.2893534e-05  1.7341943e-05  2.7762300e-05
     2 : -2.0880031e-07  5.8549052e-07 -5.9868270e-08
     3 : -9.1145764e-18  4.2696046e-17 -1.4587368e-17
     4 : -4.0799190e-14 -2.1519596e-13  3.2824730e-13
     5 : -3.3060254e-12  1.6564539e-12 -1.5205580e-12
     6 : -9.8434320e-12  2.7956310e-10 -1.1437853e-10
     7 : -6.9391408e-04  5.5801848e-04 -6.5692769e-05
     8 :  1.7745997e-03 -1.2681978e-02  2.1440911e-03
     9 :  6.7614759e-14 -8.9166655e-14  1.6004082e-13
    10 :  1.8008085e-12 -9.4283781e-12  3.7895019e-12
    11 : -5.7844157e-15  4.0680165e-14 -2.7548255e-14
    12 :  5.0308990e-01  6.4137261e-01  7.0122001e-01
    13 : -1.4920366e-09 -7.2452603e-09  3.9232845e-09
    14 :  2.5524207e-05 -4.7717380e-06 -5.3437311e-06
    15 : -2.8813694e-03  2.3269324e-01  2.9327384e-01
    16 :  2.9503629e-01  6.2752063e-02  1.6920983e-01
    17 : -4.0471705e-18  1.1044587e-18  2.0151059e-18
    18 : -5.5005689e-10 -1.9318096e-11  6.7887511e-10
    19 : -5.0042499e-11  2.2033808e-10  3.5037810e-10
    20 :  4.7855385e-13  5.9720111e-13 -1.6559715e-12
    21 : -1.6137370e-02 -1.1542629e-02  8.9122125e-03
    22 :  1.0078160e-09  5.4994689e-09 -7.9329462e-10
    23 :  2.9379407e-01  6.8589688e-01  9.1809836e-01
    24 :  3.6037804e-01  8.7156680e-02 -7.1015028e-02
    25 :  3.0492412e-01  2.7406840e-01  5.5757138e-01
    26 : -1.8724456e-04  7.3895316e-04  2.9502228e-04
    27 : -7.6186303e-14  1.1333731e-13  1.2618121e-13
    28 :  1.1684084e-07  2.7509000e-08 -2.9570434e-08
    29 :  3.7573719e-01  9.0584298e-01  8.6183835e-01
    30 : -2.8192030e-15 -1.8002459e-15  8.2354254e-15
    31 : -2.4294201e-01  7.6211931e-01  5.7246471e-01
    32 :  4.0598410e-01  1.2565978e-01  4.0051489e-02
    33 :  3.0402729e-05 -7.6982384e-06 -8.9829165e-06
    34 : -1.8821264e-10 -5.3142588e-11  7.4933270e-11
    35 :  1.1595506e-16  2.0459052e-17 -6.2422027e-17
    36 :  1.2352571e-01  1.5031598e-01  3.4205979e-01
    37 :  2.9359508e-05 -6.9570971e-06  2.5661552e-05
    38 : -1.1807754e-01  4.2515493e-01  2.3102669e-01
    39 :  1.5263815e-05 -7.2012951e-05  3.1947826e-06
    40 : -1.2547746e-09  5.9272597e-09 -2.4874674e-09
    41 :  1.3207994e-01 -2.5878094e-02  3.8831415e-02
    42 : -2.0840516e-14  2.6731100e-14 -5.1419236e-15
    43 : -2.8502339e-03  1.1982702e-02  1.9662406e-03
