Number of elements 658
     0 : -5.5370558e-03 -4.7579972e-03  2.4735106e-03
     1 : -1.8957406e-04  1.1472205e-03  9.7883897e-04
     2 :  2.7133325e-04 -2.4396216e-04 -4.1688433e-04
     3 : -6.2887386e-12  1.1387815e-11 -2.6901786e-12
     4 :  2.4260066e-10 -6.6850668e-10  6.9747739e-10
     5 : -3.6709347e-09  1.2131597e-09 -2.2883050e-09
     6 : -3.0511335e-07 -1.4598752e-06 -9.1139149e-07
     7 : -3.9652787e-02  7.6389939e-02  1.9225323e-02
     8 :  1.0996312e-02  7.7607985e-02  9.0357739e-03
     9 :  1.8857780e-10 -4.8453008e-10  1.8111175e-09
    10 : -1.7941192e-08 -9.9091463e-09  5.4359633e-09
    11 : -4.2118485e-10  5.7849410e-10  2.9853839e-10
    12 : -3.2060139e-01 -1.7739961e-01 -3.2210222e-01
    13 : -3.9833217e-06 -2.0747098e-06  2.0910252e-06
    14 :  7.3639667e-04 -2.7418003e-04 -2.1289679e-04
    15 :  1.3450950e-01  2.6779939e-01  4.8818598e-02
    16 :  7.2615991e-02  6.6919843e-02  3.7878935e-02
    17 : -1.4360464e-12 -1.4281466e-12  1.3283821e-12
    18 : -1.0198067e-07 -7.6947579e-07  3.4044444e-06
    19 : -1.0365784e-06  4.5968571e-07 -4.4826469e-07
    20 :  7.7535537e-10  2.7684846e-09 -1.8834719e-09
    21 :  1.1583853e-01  2.7652985e-01  7.1250348e-02
    22 : -7.5272806e-06 -7.7903002e-07  1.9404041e-07
    23 :  3.6913412e-01  1.0212948e-01 -1.2538215e-01
    24 :  1.5278614e-01  1.0740976e-01 -1.6572358e-02
    25 :  1.3384212e-01 -6.3202874e-02  8.8550842e-02
    26 : -2.6288572e-02  7.4914548e-02  3.7234500e-02
    27 : -3.5390845e-10  5.5704239e-10  3.5589456e-10
    28 :  5.1318905e-05  1.1719394e-05 -1.5151219e-05
    29 :  4.7003803e-01 -1.3964108e-01 -8.8802827e-02
    30 : -1.2810564e-11 -5.7247670e-11 -7.1000954e-11
    31 :  2.2433692e+00 -2.0375325e+00  2.3312741e+00
    32 :  2.2185989e-01  6.5598873e-02  9.1829156e-03
    33 : -9.3762809e-04  8.7530376e-04  6.7906406e-04
