Number of elements 658
     0 :  6.6627705e-03  9.1693150e-03 -7.9386693e-03
     1 :  3.5980184e-04 -2.3702841e-03 -1.6779382e-03
     2 : -1.7729017e-03  2.2822494e-03  3.1908322e-03
     3 :  2.8586284e-10 -7.6410101e-10  1.9616145e-10
     4 : -1.8429067e-08  5.2875681e-08 -2.6899266e-08
     5 :  1.5035736e-07 -5.7193098e-08  1.2339243e-07
     6 :  6.0207087e-06 -2.4042753e-05 -9.0174575e-06
     7 :  4.2677500e-02  2.1763801e-01  1.4265363e-01
     8 :  6.0651815e-02  1.9595262e-01  6.5719874e-02
     9 : -2.7486194e-08  1.6616766e-08 -5.5157379e-08
    10 : -1.3299723e-07  5.1125147e-07 -1.0633505e-08
    11 :  5.9930885e-09 -1.5105993e-08  6.7267504e-10
    12 : -1.8023519e-01 -1.2231140e-01 -1.5725407e-01
    13 :  4.0744615e-05  3.2029175e-05 -2.1970836e-05
    14 : -1.2516857e-03  1.3518983e-03  6.5974415e-04
    15 : -1.5775227e-02  1.3144643e-01  1.1870078e-01
    16 : -1.4811540e-02  8.9399042e-04 -4.8926393e-02
    17 :  9.6780231e-11 -2.1196289e-11 -3.4040287e-11
    18 : -3.1630197e-05 -4.7931921e-06 -1.7459435e-05
    19 : -1.5587466e-05 -2.1951369e-05 -1.3729015e-05
    20 : -1.0374581e-07 -2.3865000e-08  2.0725818e-07
    21 :  6.5368396e-02  1.8269371e-01  5.0989654e-02
    22 :  1.0815809e-05  1.4651091e-05  1.4041121e-05
    23 :  2.2520033e-02 -3.6038930e-02 -1.8224163e-01
    24 :  5.3432501e-02 -1.3186049e-01 -1.5047210e-01
    25 :  4.4575284e-02 -7.7041688e-02 -1.4612224e-02
    26 : -1.4727853e-03  2.3451124e-01  1.3671959e-01
    27 :  8.3126307e-09 -1.7971170e-08 -6.6397272e-09
    28 : -2.7164626e-04 -2.4819832e-04  1.7666848e-07
    29 : -1.8014510e-01 -5.3000982e-01 -2.9777935e-01
    30 :  1.6126413e-09  3.3831561e-09 -2.6931001e-09
    31 :  3.1226618e+00 -4.0280083e+00  1.7228311e+00
    32 : -1.5760717e-02 -7.4976068e-02 -4.0076099e-02
    33 : -3.7188839e-03 -4.5026648e-03 -2.9304103e-03
    34 : -1.2494832e-05 -2.6304575e-06  7.2460535e-06
    35 : -9.5539546e-10 -3.5629593e-10  4.9794501e-10
    36 : -7.3605873e-02 -3.3973167e-02 -6.3495844e-03
    37 :  3.8461415e-04 -7.3348753e-03 -1.3782568e-02
    38 :  6.0054028e-01 -8.3152817e-02  4.6905083e-01
    39 :  2.0742840e-03 -1.2634972e-02 -1.1237910e-02
    40 : -4.5931630e-06  6.9735145e-05  3.6091357e-05
    41 :  1.6903089e-01  2.8328045e-02  3.9560970e-02
    42 :  6.3588849e-09 -4.7399909e-08  7.4728569e-09
    43 :  2.5322260e-01  8.2268944e-02  4.9211243e-02
    44 : -5.0063782e-01 -6.0259899e-01 -2.1742780e-01
    45 :  4.0684646e-02  2.1387901e-01  6.8234613e-02
    46 :  2.2644545e-03  2.9295901e-04  2.5760520e-03
    47 :  2.3524287e-10 -1.4179344e-11 -9.7633013e-11
    48 :  4.4483626e-04 -4.1412077e-04  9.9890349e-04
    49 : -3.7097980e-01 -3.0060513e-01 -2.3401903e-01
    50 : -4.0458448e-03  9.3291784e-04  6.3249319e-04
    51 :  3.0897792e-01  2.5540973e-01  1.6705769e-01
    52 :  2.4525398e+00 -3.3143300e+00  2.5038382e+00
    53 :  1.5683547e-03  2.1862550e-04  1.9580089e-03
    54 : -1.2416259e-01 -2.3734508e-01 -2.1656391e-01
    55 : -6.6985463e-02 -2.6852534e-01 -1.9534534e-01
    56 :  6.1085672e-02 -1.0075057e-01  1.1436232e-03
    57 :  1.9256079e+00 -1.2367211e+00  1.3695674e+00
    58 :  2.9677860e-11  2.3273312e-11 -8.9401939e-11
    59 :  2.7567658e-01  1.3732396e-01  1.7332897e-01
    60 :  2.0290468e-01  1.5443295e-01  1.9467592e-01
    61 :  1.6894638e-01  1.7883408e-02  1.1116696e-01
    62 : -3.4628746e-06  1.3736193e-05 -4.6807798e-06
    63 : -5.6898101e-02 -8.7217405e-02  3.3114652e-02
    64 : -1.7012880e-05 -1.7147348e-05 -1.5475615e-05
    65 :  1.7136456e-01  1.1220516e-01  1.0302135e-01
    66 :  1.1788363e-05 -1.2084108e-05 -1.6621870e-05
    67 : -6.7880780e-02 -1.3733827e-01 -9.6002790e-02
    68 : -1.3847248e-01 -1.3627465e-01 -2.0591989e-01
    69 :  5.8562622e-02 -6.4370511e-02  1.0543150e-02
    70 : -5.1287388e-03 -4.3286174e-03  1.0529565e-03
    71 :  1.0146217e-01  1.7483933e-01  5.9540215e-02
    72 :  9.5887991e-02  1.5032662e-01  3.7241804e-02
    73 :  9.2912775e-02  1.9848021e-02  7.1202502e-03
    74 : -3.1053185e-09 -1.8668849e-08  8.7166313e-09
    75 :  5.7396852e-09 -2.1340309e-09  4.3963561e-09
    76 :  7.2824777e-02  2.2236020e-02  9.8727289e-03
    77 :  1.0768468e-05 -1.1074065e-05  1.4034334e-05
    78 : -2.2130898e-04  1.2948527e-04 -4.0670189e-04
    79 :  2.2807949e-09 -4.9852420e-08  3.8032929e-08
    80 : -1.4553092e-09  5.6565149e-09 -8.9316232e-10
    81 :  2.0877854e-05  1.0131827e-04 -5.4835598e-05
    82 : -5.6400224e-10 -7.2158937e-10  3.5725313e-10
    83 :  2.4360509e-05 -1.7767155e-05 -4.0612388e-05
    84 :  1.1792027e-01  1.5315545e-01  8.7359491e-02
    85 : -1.3123901e-03 -1.3207389e-02  4.5913706e-02
    86 : -1.0613316e-07  1.7283919e-07  1.0965519e-07
    87 :  9.3178467e-06 -1.4300804e-05  1.6170804e-05
    88 : -1.9487998e-01 -1.8208153e-01 -1.4346955e-01
    89 :  1.6508289e-03  4.6178656e-05  6.6821226e-04
    90 :  1.6707313e-01  1.0937052e-01  1.4063790e-01
    91 : -2.5904916e-01 -3.8016693e-01 -2.7529756e-01
    92 :  1.0238125e-03 -3.5759265e-04  1.0495883e-05
    93 :  2.3589237e-02 -3.8813974e-04  7.1913923e-02
    94 : -3.2722801e-02 -6.9357100e-02 -2.5332171e-01
    95 :  1.3344742e-01  5.2142011e-02 -2.5481713e-02
    96 : -2.5090808e-05  1.2950445e-05 -1.0745673e-04
    97 : -1.5463171e-01 -1.5106295e-01 -2.0956653e-01
    98 :  6.3918679e-01  1.3690726e-01  2.1328337e-02
    99 : -3.3436009e-05  3.6876299e-05 -4.5425328e-06
   100 :  8.8034617e-05 -2.6776543e-05  6.6564877e-05
   101 :  1.2974633e-03  8.6304844e-04 -2.8453132e-04
   102 : -1.6067893e-01 -1.1421912e-01 -1.7211776e-01
   103 :  1.9544397e+00 -2.9142122e+00  2.1777475e+00
   104 : -3.2374365e-03 -6.9166064e-03  4.5697293e-03
   105 :  1.2486768e-05  2.5777598e-07 -7.8663066e-06
   106 :  6.0239562e-03 -1.4827893e-02  1.6970667e-03
   107 :  2.5051980e-06  1.7155025e-06 -1.0237835e-07
   108 : -6.3647320e-07  5.2077493e-07  4.1974484e-08
   109 :  9.4122387e-05  2.3410169e-05 -3.1032719e-05
   110 :  1.4403268e-01  1.8665105e-01  4.0169145e-02
   111 :  1.5177045e-05 -1.1286626e-05 -4.0207636e-05
   112 : -7.4184785e-03  9.0758442e-03  1.8303414e-02
   113 :  1.3583518e-01  7.7014908e-02  1.9484320e-01
   114 : -9.1674575e-02 -1.3256987e-01 -2.5487464e-01
   115 :  4.3374925e-01  1.6064612e-01  7.3704221e-02
