Number of elements 658
     0 :  9.4762502e-02  6.8295588e-02 -2.0840099e-02
     1 : -2.9367148e-03 -5.4965582e-03 -1.3672432e-03
     2 :  1.1557225e-02 -8.8234677e-03 -2.2353217e-02
     3 : -4.3833750e-09  1.9330561e-08 -5.2304864e-09
     4 :  3.6079673e-07 -7.9069951e-07  7.8016727e-08
     5 : -1.3542798e-06  4.6062537e-08 -1.0477703e-06
     6 :  4.7435207e-05  5.2955658e-05  7.8139278e-05
     7 :  5.2209706e-02  1.5792224e-01  1.1645058e-01
     8 :  9.0683556e-02  1.8093887e-01  9.5060500e-02
     9 :  5.3379942e-07 -2.0637976e-08  2.8644855e-07
    10 :  4.5433435e-06 -3.5915355e-06 -1.0515742e-06
    11 : -5.9811225e-08  1.3580434e-07  1.3017184e-08
    12 : -8.4795171e-02 -4.4477276e-02 -9.8834478e-02
    13 : -2.8721320e-04 -1.5583561e-04  1.2242820e-04
    14 : -6.5242929e-03 -2.7272339e-03 -1.4046259e-04
    15 :  7.8333154e-02  1.0468106e-01  4.9463673e-02
    16 : -5.4236190e-02 -4.2738584e-02 -7.6049271e-02
    17 : -2.5026587e-09  3.0602649e-09 -3.7462225e-10
    18 :  1.6554131e-04  9.1243763e-05 -8.4581210e-06
    19 :  2.9262232e-05 -7.8176885e-05  9.4609213e-06
    20 :  1.2363203e-06 -6.1523776e-07 -2.8276071e-06
    21 :  5.6066121e-02  1.4985601e-01  3.7190252e-02
    22 : -7.7397637e-05 -3.9250637e-05 -4.7435314e-05
    23 : -1.8684912e-01 -2.9068441e-01 -4.5401696e-01
    24 : -4.0939426e-02 -1.3025752e-01 -1.5985133e-01
    25 : -2.0764406e-02 -1.1993089e-01 -6.3166843e-02
    26 :  1.1300007e-01  2.4803009e-01  1.6634995e-01
    27 : -3.2349865e-10  1.3097959e-07  2.9723919e-08
    28 :  1.2965591e-03  1.0827209e-03 -2.7667072e-06
    29 : -4.1607942e-01 -3.2791651e-01 -2.6701207e-01
    30 : -6.0990250e-08 -9.3840927e-08  2.4185113e-07
    31 :  2.7688176e+00 -4.4839703e+00  9.4675195e-01
    32 : -6.9733786e-02 -8.0412024e-02 -5.1902462e-02
    33 :  5.7187625e-02 -1.1625849e-03 -6.3931557e-03
    34 :  1.3650858e-04  7.2466435e-05 -5.0212062e-05
    35 :  1.5333843e-08  1.1461740e-08 -7.3972089e-09
    36 : -7.8779261e-02 -6.1142963e-02 -5.4452123e-02
    37 :  6.9784214e-02  5.2736397e-04  5.7884634e-02
    38 :  8.1498702e-01 -3.8505913e-01 -5.1539227e-01
    39 : -1.4398385e-02  7.7874841e-04  3.1766714e-02
    40 : -2.4323753e-05 -1.6767406e-04 -1.5307082e-04
    41 :  9.8309801e-03 -2.7078729e-02 -1.3104505e-02
    42 :  2.3857989e-09  2.5067207e-07 -3.5449427e-08
    43 :  6.5034801e-02  1.0106884e-01  2.7135306e-02
    44 : -4.0041721e-01 -2.8053465e-01 -3.5875583e-01
    45 :  1.1952467e-01  1.1365875e-01  3.9081358e-02
    46 : -9.2740755e-03 -1.1297472e-05 -8.6403684e-03
    47 : -2.1747981e-09 -2.1439999e-09  5.6963530e-09
    48 :  4.8237912e-04  1.5644126e-03 -3.2966395e-03
