Number of elements 658
     0 : -2.7364507e-04 -8.5338037e-05 -4.2896043e-05
     1 : -3.5169707e-05  8.4859626e-05  9.6173897e-05
     2 :  2.0022329e-06 -1.2535920e-06 -3.0516122e-06
     3 : -1.4925412e-16  2.5199505e-15 -1.0325940e-15
     4 :  1.6652860e-12 -8.0046008e-12  4.8413556e-12
     5 : -3.5529283e-11  1.6416387e-11 -2.6200389e-11
     6 :  6.8061831e-10 -2.4694225e-10  9.5780997e-10
     7 : -2.0801987e-03  3.6360265e-03  2.0641541e-03
     8 : -1.5063612e-03 -1.0579683e-02 -3.9309085e-03
     9 :  3.5865976e-12 -1.3290267e-12  5.0386149e-13
    10 :  1.6639656e-10 -1.1318119e-10 -7.0010082e-12
    11 : -4.1219154e-15  8.0054923e-13 -7.4600742e-13
    12 :  2.2146286e-01  5.2036475e-01  4.7941660e-01
    13 :  2.6456682e-08 -7.8550007e-09 -6.6634836e-09
    14 :  1.0542055e-05 -8.3942074e-07  2.8139698e-06
    15 : -1.2620497e-02  2.8092766e-01  4.0034953e-01
    16 :  2.4305746e-01  5.0347841e-02  1.6953633e-01
    17 : -3.0395775e-16  2.7072569e-16  4.3615823e-17
    18 : -2.3057429e-09 -1.1730806e-09  7.5834421e-09
    19 :  1.3393042e-09 -3.3597359e-09 -1.2858958e-09
    20 :  1.7780560e-11 -5.4124112e-12 -4.0089509e-11
    21 : -2.3319663e-02 -2.9248195e-02 -7.6802435e-04
    22 : -5.5740199e-08 -1.0059886e-09  1.6679514e-08
    23 :  3.6451274e-01  8.1407473e-01  8.9941010e-01
    24 :  1.2410793e-01  1.5835106e-02 -1.9634636e-01
    25 :  3.1725533e-01  2.9347658e-01  4.4013277e-01
    26 :  8.0280516e-04 -1.2308058e-03  9.1823078e-05
    27 : -8.9414607e-13  2.3410546e-12  1.8270757e-12
    28 : -1.4721018e-07  3.7923489e-08  1.0395571e-07
    29 :  4.6807896e-01  8.2084027e-01  9.7325812e-01
    30 : -1.3998134e-13 -1.9923853e-13  5.9842800e-13
    31 : -1.0042530e-01  8.2233158e-01  8.5632765e-01
    32 :  4.7338631e-01  1.7878310e-01  6.6945181e-02
    33 : -5.9577713e-05  1.8200849e-05  2.9706976e-05
    34 : -6.8708870e-10 -4.2676315e-10  1.8605895e-10
    35 :  5.0195344e-15  2.1733228e-15 -3.1110494e-15
    36 :  3.1578982e-02  8.7308501e-02  2.2973165e-01
    37 : -2.1101578e-04  1.0403955e-04 -3.8473369e-05
    38 : -1.1920610e-01  5.4132310e-01  3.2430908e-01
    39 :  8.4510901e-06 -1.5349845e-04  1.0100633e-04
    40 : -2.6876879e-09  4.1163377e-08  2.0901558e-08
    41 :  3.7017246e-01  2.8305332e-02  1.2903008e-01
    42 : -9.2586091e-14 -1.0788112e-12  3.2465056e-14
    43 :  1.9517904e-02 -1.9618197e-02 -2.6902361e-02
