Number of elements 658
     0 :  7.6089928e-04  1.3255466e-03 -9.7978500e-04
     1 :  1.3713562e-04 -8.1067737e-05 -1.4466117e-04
     2 :  2.5211650e-06 -8.5425386e-06  1.2984191e-06
     3 :  8.3682154e-15  1.8984798e-14 -1.2375451e-14
     4 :  1.2383711e-11 -3.0188358e-11  9.0203621e-13
     5 : -1.3169571e-11 -2.1878463e-11 -2.0947661e-11
     6 : -6.6342142e-10 -1.7024852e-08  2.9438104e-09
     7 :  3.0574448e-03 -2.7316672e-03  1.3819103e-03
     8 : -4.7356720e-03  4.7013375e-03 -7.4703519e-03
     9 :  2.0933143e-11  1.9241769e-12 -2.0256767e-11
    10 :  7.5679063e-10 -4.0369184e-13 -1.9491739e-10
    11 :  1.5154234e-12  2.9864279e-12 -5.7114818e-12
    12 : -2.1517434e-02  3.2209563e-01  1.7568595e-01
    13 :  8.8339052e-08  6.4802712e-08 -5.8358436e-08
    14 : -9.3850439e-05  2.3012706e-05  3.0115840e-05
    15 :  3.9000864e-02  3.6923714e-01  4.4883065e-01
    16 :  1.9998847e-01  5.3301528e-02  1.6561434e-01
    17 : -3.5071032e-15  8.0873430e-15 -2.2097402e-15
    18 :  1.2163074e-08 -2.6504308e-09  1.2239676e-08
    19 : -4.6890476e-09  6.6771239e-10 -6.0260326e-09
    20 :  6.0481868e-11 -8.3546570e-11 -1.2542472e-10
    21 :  3.9013062e-03 -5.6643896e-03 -1.9001230e-02
    22 : -3.6963260e-08 -9.9876931e-08 -1.2423399e-08
    23 :  4.9271801e-01  7.9956664e-01  7.3251591e-01
    24 : -3.4755433e-03  4.1088460e-02 -1.9800458e-01
    25 :  3.1589624e-01  1.7438553e-01  2.8965372e-01
    26 :  2.6475134e-03 -6.7350036e-03 -2.7350516e-03
    27 :  3.1820364e-12  3.1628728e-12  2.3535277e-12
    28 : -8.1603611e-07  1.8958722e-08  2.1874607e-07
    29 :  5.6165000e-01  7.2655420e-01  9.0171455e-01
    30 : -1.3081028e-12 -2.1574417e-12  6.7849547e-12
    31 :  1.6912263e-01  6.9767147e-01  1.2063316e+00
    32 :  4.9855770e-01  2.0242619e-01  8.7777942e-02
    33 : -3.0122941e-04  7.0824577e-05  8.4337730e-05
    34 :  2.0123778e-09 -4.1972304e-10 -1.4460672e-09
    35 :  1.6768667e-14  3.6710654e-14 -1.9523900e-14
    36 : -1.1244412e-02  6.7720993e-02  1.7635880e-01
    37 : -3.1258512e-04  5.4225510e-05 -2.7816989e-04
    38 : -1.1965260e-01  6.6934804e-01  4.1851497e-01
    39 : -1.5328497e-04 -1.1701028e-04  5.4330995e-04
    40 :  7.5902634e-08 -1.6961843e-07  4.9848672e-08
    41 :  5.1289584e-01  1.1090569e-01  1.7785940e-01
    42 :  2.6007320e-12 -1.9750993e-11  1.5751046e-12
    43 :  1.4476367e-02 -4.3204277e-02 -4.0896263e-02
    44 :  5.7349182e-01  6.6881667e-01  4.7631406e-01
    45 :  7.1227584e-02  5.5343373e-01  2.9000879e-01
    46 :  7.9281086e-06 -2.5174953e-06 -1.2116684e-05
    47 :  1.0485382e-14 -1.3625186e-14  2.3309861e-14
    48 : -8.6371384e-06  1.3074734e-06  3.2142644e-06
    49 :  2.5417870e-01  2.9926260e-01  7.1965900e-01
    50 : -1.4914292e-05  2.0116819e-05 -1.1101409e-05
    51 : -1.6166126e-02  4.5362820e-02 -7.7895400e-03
    52 : -1.2182533e-01  6.1427068e-01  3.6363011e-02
    53 :  8.5900366e-06 -4.3551954e-06  8.1020185e-06
    54 :  4.8426897e-01  6.8197635e-02  2.4494459e-01
    55 :  3.7752300e-02  1.2909019e-01 -1.5045945e-01
    56 :  1.0641715e-02 -1.4289818e-01 -8.4632934e-02
    57 : -1.7507292e-01  8.4081699e-01 -2.3020108e-01
