Number of elements 658
     0 : -6.8503946e-03 -3.4931453e-03  5.8417821e-04
     1 :  5.8939728e-04  7.9482574e-04  5.6884173e-05
     2 :  1.1955404e-04 -4.2296233e-04 -1.0505408e-04
     3 : -1.2156568e-11  5.0528703e-11 -1.4200518e-11
     4 :  1.6044912e-09 -4.2352476e-09  1.0203311e-09
     5 : -9.2196431e-09  3.2917012e-09 -8.8539783e-09
     6 : -2.1726378e-06  2.2977918e-06 -1.4993359e-06
     7 : -4.3046524e-02  1.4173064e-01  6.4325554e-02
     8 :  1.9443773e-02  1.1330970e-01  1.7535896e-02
     9 :  2.2896429e-09 -7.5192557e-10  2.5843901e-09
    10 :  3.5297246e-08 -4.2657399e-08 -5.5882332e-11
    11 : -3.5605824e-10  1.6258662e-09 -6.6438072e-10
    12 : -3.0541266e-01 -1.9298234e-01 -3.0048529e-01
    13 : -1.2167321e-06 -4.3181190e-06  1.6295699e-06
    14 :  1.2805346e-03 -3.6637606e-04 -2.2224926e-04
    15 :  6.6943025e-02  1.7602376e-01  1.6521869e-02
    16 :  5.3289748e-02  5.3251303e-02  6.4406198e-03
    17 : -6.4846934e-12  6.1045567e-12  2.6303303e-13
    18 :  4.3627367e-06  8.9124788e-08  2.6589913e-06
    19 :  3.4159809e-07  6.1488390e-06  1.4264531e-06
    20 :  7.6977037e-09 -2.5621209e-10 -1.8158120e-08
    21 :  9.9710436e-02  2.6291574e-01  8.8721961e-02
    22 :  4.2323990e-07 -4.5566575e-06 -3.4603007e-06
    23 :  2.1950550e-01  8.9611478e-02 -1.2252486e-01
    24 :  1.5122419e-01  5.1300447e-02 -3.0173258e-02
    25 :  1.1699709e-01 -6.1064950e-02  8.2725862e-02
    26 : -3.4544552e-02  1.2297031e-01  6.4364249e-02
    27 :  3.6164509e-11  5.2850619e-10  3.3463453e-10
    28 :  2.6741126e-05  5.0497085e-05  6.9263932e-06
    29 :  3.0507641e-01 -3.5673116e-01 -1.9542129e-01
    30 : -2.1267098e-10 -2.5647892e-10  7.3318520e-10
    31 :  2.6374607e+00 -2.7072360e+00  2.2561909e+00
    32 :  1.4347872e-01  1.3016241e-02 -5.2716771e-03
    33 : -6.9515445e-03  2.1446826e-03  2.1130321e-03
    34 :  1.1818643e-06 -4.1552713e-08 -7.7251010e-07
