Number of elements 658
     0 :  4.3141415e-04 -7.9833627e-04  1.2116775e-03
     1 : -2.5228843e-04 -1.6186310e-04  3.5325318e-05
     2 : -2.9378693e-05  5.8303478e-05  2.3613825e-05
     3 :  4.2109354e-13 -1.7405755e-12  4.9671328e-13
     4 : -1.3996861e-10  3.6661205e-10 -7.7113448e-11
     5 :  6.8419466e-10 -1.2234080e-12  4.8641153e-10
     6 :  3.4013009e-08  2.1665706e-07  7.3717749e-08
     7 :  3.6868297e-03 -1.5401293e-02 -1.6373039e-02
     8 :  2.3163046e-04  3.0660170e-02  7.7065661e-04
     9 : -2.4971001e-10  2.5093055e-11  1.1215994e-11
    10 : -5.6699193e-09  1.8118117e-09  9.5346475e-10
    11 :  1.5564104e-11 -8.4756457e-11  4.4831596e-11
    12 : -2.4913434e-01 -6.0447328e-03 -2.1161706e-01
    13 : -2.5353921e-07  1.2513814e-07  5.4506813e-08
    14 : -2.0633693e-04  3.1305244e-05  5.2625514e-06
    15 :  1.7936256e-01  4.3588229e-01  2.8074504e-01
    16 :  1.2304699e-01  6.9087214e-02  1.1882331e-01
    17 :  2.1606907e-13 -1.2610882e-13 -5.4068918e-14
    18 : -1.1055027e-07  7.4978777e-08 -3.9790119e-07
    19 :  1.2111517e-07 -3.8170557e-08  4.5195116e-08
    20 : -6.9830377e-10  5.0969364e-10  1.6111375e-09
    21 :  9.7602075e-02  1.7013622e-01 -5.1407979e-03
    22 :  8.5551046e-07  5.8291682e-07  1.2622396e-07
    23 :  6.4278790e-01  3.4949347e-01  1.4099616e-01
    24 :  4.8674031e-02  1.2952177e-01 -8.5956777e-02
    25 :  2.2252988e-01 -8.3834117e-03  1.0724671e-01
    26 : -4.5538016e-03  4.9808807e-03 -1.6768588e-03
    27 : -6.1883655e-12 -7.2693984e-11 -5.6430173e-11
    28 : -3.1576413e-06 -3.3942572e-06  4.1694024e-07
    29 :  6.4175508e-01  3.9012159e-01  3.6583598e-01
    30 :  1.7842015e-11  2.9157605e-11 -7.6423262e-11
    31 :  1.1455559e+00 -4.3739446e-01  2.0037667e+00
    32 :  3.9656037e-01  1.6683485e-01  5.6536176e-02
    33 :  1.4076972e-03 -4.0606046e-04 -4.4320809e-04
    34 :  2.6280812e-08  3.8086431e-08  7.3841297e-09
    35 : -2.2252397e-12 -1.0911871e-12  1.2603322e-12
    36 : -5.2841962e-02  6.0719568e-02  1.6800513e-01
    37 :  2.1029789e-03 -6.7223199e-04  8.6554073e-04
    38 : -7.2124455e-02  8.2161253e-01  6.5191212e-01
    39 : -5.7398488e-04  1.5039216e-03  1.1983391e-03
    40 : -7.6997319e-07  1.2359673e-06 -5.3949091e-07
    41 :  3.6539287e-01  1.1113750e-01  1.0374889e-01
    42 : -3.6940083e-12  4.8755480e-11  3.4187670e-12
    43 : -1.1476555e-01  1.7215656e-01  1.8018856e-01
    44 :  4.8939294e-01  4.4920330e-01  5.8896289e-01
    45 :  1.8714426e-01  3.5675259e-01  1.7238915e-01
    46 :  1.7924505e-05  1.4780363e-05  1.1578605e-04
    47 :  3.5736823e-13  1.1344278e-13 -4.7492466e-13
    48 :  4.4763442e-05 -1.4589919e-05  1.4537545e-05
    49 : -2.9807292e-01 -2.0992702e-01  4.0723115e-01
    50 :  8.9982980e-04 -2.1216578e-04 -1.6485172e-04
    51 : -2.0096583e-02  2.2091956e-01 -1.7978950e-02
    52 :  2.3297517e-01  4.3794877e-01  5.0818621e-01
    53 : -2.3897664e-06  2.3701583e-05  1.3384541e-05
    54 :  1.8456811e-01 -1.8991062e-01 -1.0035828e-01
    55 :  3.9701876e-02  9.2312678e-02 -1.0982827e-01
    56 :  7.1284397e-02 -1.2763008e-02 -8.9253210e-02
    57 :  9.4423004e-02  1.0778923e+00 -2.0029924e-01
    58 :  2.3766030e-14  1.9418292e-14 -7.2909096e-14
    59 :  7.0087783e-02  1.7209653e-02 -4.0917939e-02
    60 : -6.3436615e-02  1.4203084e-02  1.2073166e-01
    61 :  4.0281280e-02 -7.7324756e-02  5.5136976e-02
    62 :  1.6426958e-08  8.8530775e-08 -1.5878729e-08
    63 :  8.9598318e-02  2.1410297e-02  1.8447768e-01
    64 :  1.9829312e-07 -8.0276585e-08  8.8434154e-08
    65 :  2.6457131e-01  1.8324039e-01 -2.8926269e-02
    66 : -7.8440193e-08  7.4555234e-08  7.8532840e-08
    67 :  1.5777759e-01 -1.3710814e-01 -1.5547631e-02
    68 : -3.1662402e-02 -1.3485434e-01 -1.8654294e-01
    69 :  4.8332014e-01  2.3822856e-01  2.8885506e-01
    70 :  1.0993644e-03  3.1311980e-04 -3.6588719e-04
    71 :  8.0456794e-02  9.3589076e-03 -2.6559467e-02
    72 :  2.6140235e-01  3.7162981e-01  1.2982756e-01
    73 : -6.9777971e-03 -3.3045617e-03 -2.7995651e-03
    74 : -2.6416348e-11 -1.1078281e-10  2.7457854e-11
    75 : -4.4755555e-11 -1.4397270e-10  8.9883945e-11
    76 :  4.0500338e-01  2.8480393e-01  1.2783836e-01
    77 :  2.5132871e-07 -1.9655827e-07 -8.1719080e-08
    78 : -4.1769448e-06  2.9704710e-06 -5.2165980e-06
    79 : -1.7374417e-11 -3.1276190e-10  3.4723518e-10
    80 : -2.9239183e-12  1.6070298e-11 -3.2798289e-12
    81 :  1.2831304e-06  3.3020580e-07  9.8666889e-07
    82 :  2.6765041e-12 -7.6821532e-12  1.1495198e-11
    83 :  1.4151618e-07 -3.9060163e-09 -6.3596029e-07
    84 :  1.9657090e-01  3.0566063e-01  1.1405042e-01
    85 : -3.1926079e-04  2.6766459e-03 -1.0272604e-02
    86 : -4.2942942e-10  1.2656240e-09  6.4251477e-10
    87 : -6.3687541e-08  8.3500782e-08 -5.6032419e-10
    88 : -4.2080032e-01 -1.6621060e-01 -2.5488708e-01
    89 : -6.6666057e-05  3.4017531e-05  1.0584146e-04
    90 :  2.3675670e-01  7.5691710e-02  1.4338429e-01
    91 :  2.7692049e-01 -1.0981774e-01  5.8095115e-01
    92 :  1.0796556e-05 -8.1335634e-06  4.8363548e-06
    93 :  5.9741892e-04  2.6668574e-03 -1.1343616e-02
    94 : -1.0522412e-01  1.2735793e-01 -3.1585734e-02
    95 :  2.0158362e-02 -9.4751976e-03 -1.7229456e-01
    96 :  2.2378007e-06  4.0727986e-06 -7.5777719e-06
    97 : -1.3299568e-01 -1.6055667e-01 -4.0175213e-01
    98 : -5.0595443e-02 -1.2082066e-02  2.7821392e-03
    99 : -1.9008288e-07  7.5259365e-08 -3.8672815e-07
   100 : -3.7378717e-07 -3.3900886e-07 -1.7146308e-06
   101 :  1.0449190e-04 -4.2572155e-05 -1.9249887e-04
   102 : -2.2289118e-01 -1.1103432e-01 -3.8845514e-01
   103 :  4.3881835e-01  1.4229578e-01  8.6246219e-01
   104 :  7.6177034e-05  1.4203466e-04  1.0132908e-04
   105 : -2.8357943e-08  2.9167831e-09  1.0638443e-08
   106 : -5.5605602e-04  1.0038216e-03 -8.3278563e-05
   107 : -2.8573969e-08  4.9605856e-08  6.3198140e-08
   108 : -4.1089843e-09  3.2975248e-09 -4.1494393e-11
   109 : -5.2519069e-07 -7.9226460e-07 -1.7883060e-07
   110 :  1.6900069e-02  3.3840815e-02 -1.0231594e-03
   111 : -2.0315013e-07  4.6399101e-08 -1.4386644e-07
   112 :  1.8072910e-03 -2.0401586e-03 -3.6454724e-03
   113 :  1.5266234e-01  5.3958903e-02  2.3495032e-01
   114 : -2.4112216e-02  1.6267866e-01 -2.1042869e-02
   115 :  2.3455118e-01  3.7590339e-01  5.0677061e-01
   116 :  1.6426996e-07 -2.7107001e-07 -1.2579725e-07
   117 :  4.0001758e-04  2.5102710e-03 -5.0380369e-04
   118 :  4.1603443e-01  9.7194139e-02  1.0998206e-01
   119 : -2.3640033e-06 -3.0843476e-05  4.7601174e-05
   120 :  3.6646067e-01  4.0744755e-01 -1.3653904e-01
   121 : -5.1590538e-09  3.3267495e-09  1.7713190e-10
   122 :  6.9515571e-01  4.9054023e-01  7.2004621e-01
   123 :  1.7609348e-01  2.7553078e-01  7.2269941e-02
   124 : -8.0399763e-05 -1.7971962e-03  3.6529738e-03
   125 :  1.9860892e-09 -6.7687062e-09  1.5554802e-09
   126 : -7.4057937e-06 -1.2367197e-06  1.0150483e-06
   127 : -1.2199243e-08  2.5640655e-08  4.0093029e-09
   128 : -6.1608681e-06  9.1789768e-06  4.4722140e-05
   129 :  1.2955688e-01 -3.3693942e-02  1.9055460e-01
   130 : -5.7045980e-08 -3.7315853e-08 -3.4794689e-07
   131 :  3.5388275e-01  2.6069316e-01  4.9023863e-01
   132 :  1.2588361e-08 -5.7126235e-08  1.6879194e-08
   133 : -3.9668248e-10 -1.1218903e-10  6.5300813e-10
   134 : -1.0670315e-01  6.3793334e-02  1.6905434e-01
   135 : -1.6623076e-01  6.4386837e-01 -2.6529270e-01
   136 : -2.2382701e-04  4.4592120e-04 -2.0601719e-04
   137 : -6.8045290e-14 -1.9165074e-13  3.4593645e-13
   138 : -8.5521110e-10  9.9505816e-10  1.0694032e-09
   139 : -4.5368098e-02  8.9448115e-02 -1.0788561e-01
   140 :  7.5213041e-05 -2.2939668e-04  9.5665685e-05
   141 : -8.2070700e-08 -4.9365211e-07  5.4743244e-08
   142 :  4.5225761e-01  2.6952370e-01  3.8573173e-01
   143 :  1.4020673e-06 -7.3862193e-07  3.0854766e-07
   144 :  7.5376006e-06  9.0272989e-05 -9.2529857e-05
   145 : -1.6201758e-10  8.3594078e-11 -8.4888896e-11
   146 :  7.7836405e-02 -1.7213660e-02  9.2485661e-02
   147 :  1.6116454e-01  1.7419765e-02  5.6448128e-04
   148 : -7.7091448e-09  6.9098369e-09  2.9118599e-08
   149 : -5.9132978e-03  6.9084724e-03 -2.0835867e-03
   150 : -2.3158867e-07  1.5344303e-07  1.3110823e-07
   151 : -1.7008834e-01 -3.4933541e-02  3.0667332e-02
   152 : -6.4764327e-12  2.3461893e-12  1.7455320e-12
