Number of elements 658
     0 :  4.0328467e-02  3.2862996e-02 -1.6879470e-02
     1 : -4.4293481e-04 -5.1761308e-03 -2.4494505e-03
     2 :  3.9815158e-03  6.4676981e-05 -5.7231779e-03
     3 : -9.3024819e-10 -6.8182965e-10  2.1965091e-10
     4 : -3.9872346e-08  7.3554018e-08  1.0347698e-07
     5 : -2.0743721e-07  2.2654094e-07 -1.5262692e-07
     6 : -3.0298914e-05  3.0855435e-05 -5.5994160e-06
     7 :  6.5341647e-02  1.8692965e-01  1.3493954e-01
     8 :  8.3945456e-02  2.0469256e-01  9.1091799e-02
     9 : -9.5965300e-08 -7.5110498e-08  2.2776653e-07
    10 : -3.2918407e-06 -5.1648550e-07  6.6531410e-07
    11 : -2.7586709e-08  1.5878989e-08  3.6061382e-08
    12 : -1.2310185e-01 -7.5806580e-02 -1.1262192e-01
    13 : -1.4226269e-04 -3.4478728e-05  6.5732063e-05
    14 : -5.5735586e-03  8.1432996e-04  1.1861979e-03
    15 :  4.3664103e-02  1.6575383e-01  1.3452632e-01
    16 : -4.1902007e-02 -2.7107284e-02 -6.8031267e-02
    17 :  2.5621185e-11 -8.6835531e-10  3.5932497e-10
    18 :  3.3694689e-05 -2.8240445e-05  1.2945851e-04
    19 :  2.1760170e-05  8.7942623e-05  2.8089166e-05
    20 : -9.5993558e-08  4.9824102e-07  4.2665182e-07
    21 :  6.6892116e-02  1.7214478e-01  3.6438057e-02
    22 : -1.0070935e-04  1.1649775e-05  1.0688534e-06
    23 : -6.5920936e-02 -1.9966618e-01 -3.5476908e-01
    24 : -1.0239376e-02 -1.6247017e-01 -1.8005803e-01
    25 : -4.6434179e-03 -1.1088756e-01 -5.4385944e-02
    26 :  5.9925110e-02  2.5303657e-01  1.5977609e-01
    27 : -5.9465163e-08  6.3756646e-08  2.8346794e-08
    28 :  6.8953265e-04 -1.7211840e-04 -3.0554546e-04
    29 : -3.5152663e-01 -4.1771176e-01 -2.9898495e-01
    30 :  1.3818951e-08  1.1214497e-08 -8.0101821e-08
    31 :  3.0522680e+00 -4.4461597e+00  1.3578113e+00
    32 : -6.7637087e-02 -8.7471867e-02 -5.4302735e-02
    33 :  2.8599385e-02 -8.3163539e-03 -1.0049100e-02
    34 : -2.3088238e-05 -2.4590385e-05 -5.1563567e-06
    35 :  1.6956110e-09 -8.9725879e-10 -1.1940415e-09
    36 : -7.5200417e-02 -5.1247045e-02 -3.8181299e-02
    37 :  3.9567205e-02 -1.0161178e-02  1.3580036e-02
    38 :  7.6705988e-01 -2.8211285e-01 -8.3749572e-02
    39 : -5.0608523e-03 -1.3942907e-02  2.7165872e-03
    40 :  4.7733638e-05 -4.8101686e-05  2.7686732e-05
    41 :  8.6119639e-02 -2.3636830e-03  1.5542793e-02
    42 : -3.8435461e-08  2.2461922e-07 -3.9797627e-08
    43 :  1.3225255e-01  7.3928115e-02 -1.0553504e-02
    44 : -4.5558713e-01 -4.1150485e-01 -3.4175536e-01
    45 :  8.7844704e-02  2.0962901e-01  7.5205746e-02
    46 : -2.9932430e-03  1.7771972e-03 -1.6403461e-03
    47 : -1.0882656e-09  7.4224365e-10 -1.1571997e-09
    48 :  2.8269415e-03  9.5272902e-05  2.3933492e-04
    49 : -3.3316435e-01 -3.1432833e-01 -2.5486347e-01
    50 : -5.1290445e-03 -1.1760350e-03  1.2912471e-04
    51 :  3.2079749e-01  2.3288438e-01  1.3754576e-01
    52 :  2.8379296e+00 -4.4247072e+00  2.6953197e+00
    53 : -8.1698504e-04  1.6651642e-03 -2.1568183e-03
