Number of elements 658
     0 :  6.5730163e-02  4.9958901e-02 -2.0283738e-02
     1 : -1.3031202e-03 -6.1845646e-03 -2.6488310e-03
     2 :  8.6506843e-03 -4.1787614e-03 -1.4380514e-02
     3 : -3.5923993e-09  7.1724808e-09 -1.9355684e-09
     4 :  1.0722680e-07 -2.7027193e-07  2.1442410e-07
     5 : -9.9888595e-07  3.6800559e-07 -7.3387699e-07
     6 : -5.5656824e-06  8.0470230e-05  5.3201144e-05
     7 :  6.0054168e-02  1.7133696e-01  1.2631796e-01
     8 :  8.9459736e-02  1.9607825e-01  9.5840323e-02
     9 :  1.3048876e-07 -1.2843312e-07  4.5889145e-07
    10 : -1.8309064e-06 -2.5460487e-06  3.1772092e-07
    11 : -5.5425937e-08  7.5589751e-08  4.3066399e-08
    12 : -1.0154691e-01 -5.6689568e-02 -1.0306780e-01
    13 : -2.6951421e-04 -1.1310084e-04  1.2373958e-04
    14 : -6.7994377e-03 -7.7600343e-04  8.0646813e-04
    15 :  6.8928567e-02  1.4825932e-01  1.0145546e-01
    16 : -4.8464048e-02 -3.6434693e-02 -7.3032590e-02
    17 : -1.0566131e-09 -3.7221992e-10  5.6587586e-10
    18 :  1.3392203e-04  1.3115914e-05  1.4433056e-04
    19 :  5.6033117e-05  5.2139557e-05  4.6320799e-05
    20 :  5.2010659e-07  3.7299479e-07 -8.3746535e-07
    21 :  6.3990546e-02  1.6546592e-01  3.6844021e-02
    22 : -1.1765878e-04 -1.1200170e-05 -2.5524499e-05
    23 : -1.2500208e-01 -2.5680548e-01 -4.2018026e-01
    24 : -2.9093822e-02 -1.4945453e-01 -1.7313513e-01
    25 : -1.7310546e-02 -1.1955233e-01 -6.1574077e-02
    26 :  8.8944733e-02  2.5227261e-01  1.6448642e-01
    27 : -8.9092342e-08  1.7380472e-07  6.9744450e-08
    28 :  1.2246728e-03  3.6418661e-04 -2.6995755e-04
    29 : -3.9461189e-01 -3.6483983e-01 -2.8533015e-01
    30 : -6.8956020e-09 -2.9976918e-08 -1.1281552e-08
    31 :  2.9327838e+00 -4.5140163e+00  1.1601249e+00
    32 : -7.3795956e-02 -8.5966363e-02 -5.4733129e-02
    33 :  4.4690281e-02 -6.0134644e-03 -9.8258548e-03
    34 :  4.2088984e-05  5.0281738e-06 -3.4473441e-05
    35 :  1.0077485e-08  3.4408797e-09 -5.7131633e-09
    36 : -7.6615292e-02 -5.6495848e-02 -4.7567136e-02
    37 :  5.7394265e-02 -6.0314396e-03  3.5850384e-02
    38 :  8.0566250e-01 -3.4786407e-01 -3.2923134e-01
    39 : -9.7809336e-03 -8.8303680e-03  1.5675739e-02
    40 :  2.7437922e-05 -1.5157863e-04 -7.4468728e-05
    41 :  4.1999990e-02 -1.8650425e-02 -2.0994158e-04
    42 : -5.7088850e-08  4.3539039e-07 -7.7576153e-08
    43 :  8.9022976e-02  9.0990109e-02  7.3563801e-03
    44 : -4.2650917e-01 -3.3402316e-01 -3.5856893e-01
    45 :  1.1038225e-01  1.7079477e-01  6.0668017e-02
    46 : -6.7578376e-03  1.3668188e-03 -5.5695445e-03
    47 : -2.9688699e-09  4.4389288e-10  3.4596184e-10
    48 :  2.5722587e-03  8.6239288e-04 -1.2674012e-03
    49 : -2.9043188e-01 -2.9275451e-01 -2.4494940e-01
    50 : -4.4835513e-03 -3.1539620e-03 -5.6052014e-04
    51 :  2.9225831e-01  2.3712126e-01  1.3824761e-01
    52 :  2.9700236e+00 -4.8468510e+00  2.6770449e+00
    53 : -3.5188782e-03  1.4025801e-03 -5.4319754e-03
    54 : -3.7771192e-02 -1.4972894e-01 -2.0088665e-01
    55 : -3.1296370e-02 -1.5857749e-01 -1.2936712e-01
    56 : -6.1215154e-02 -2.0057637e-01 -5.6280837e-02
    57 :  2.3291942e+00 -2.6821858e+00  2.1921599e+00
    58 : -2.8178732e-10 -1.9285664e-10  7.7228389e-10
    59 :  2.2438565e-01  1.2293936e-01  1.2439848e-01
    60 :  9.2231062e-02  8.8493449e-02  9.6650852e-02
    61 : -1.2807837e-03 -7.7005681e-02  5.4462450e-02
    62 :  2.6416271e-05 -2.6416188e-05  1.7030705e-05
    63 : -8.9160261e-02 -1.1679047e-01 -3.2345671e-03
    64 :  6.1767451e-05  3.0495189e-05  5.8153113e-05
    65 :  2.2548993e-01  1.3816297e-01  1.0838860e-01
    66 : -3.8164306e-05  6.4729694e-05  7.9604920e-05
    67 : -9.7761241e-02 -1.2170735e-01 -9.2068336e-02
    68 : -1.5157205e-01 -8.2663224e-02 -1.7847596e-01
    69 : -3.0361053e-02 -2.2591149e-02 -2.8309294e-02
    70 : -4.2530610e-03 -8.5405483e-03 -2.9072404e-03
    71 :  9.5072068e-02  1.4232280e-01  3.7596285e-02
    72 :  1.6663023e-01  1.6705441e-01  8.6545507e-02
    73 :  1.8950851e-01  6.3613500e-02  3.2737523e-02
    74 :  1.0200548e-08  1.6318295e-07 -7.5959250e-08
    75 : -1.2769666e-07 -1.0517869e-07  4.2100624e-08
    76 :  2.2948918e-02 -3.0429730e-04  2.9309262e-02
    77 : -4.4312846e-06  2.3253502e-05 -1.2863278e-05
    78 : -5.2602584e-05 -4.9654303e-04  1.4832613e-03
    79 : -4.3968586e-08  3.2880918e-07 -1.2439873e-07
    80 :  1.5037633e-08 -4.9109938e-08  9.5225270e-09
    81 : -4.5868843e-04 -3.1014623e-05 -4.2387163e-04
    82 :  1.0211169e-08  5.5140664e-09  1.1494843e-09
    83 : -6.0098979e-05  1.0581317e-04 -1.3441494e-04
    84 :  1.4395338e-01  1.5558074e-01  1.1181638e-01
    85 :  3.8123760e-02 -6.4076590e-03  1.3597262e-01
    86 :  6.3204520e-07 -8.3105848e-07 -5.4308575e-07
    87 : -4.3400009e-05  7.7419571e-05 -6.4541588e-05
    88 : -1.6360842e-01 -1.5427478e-01 -1.6523570e-01
    89 : -1.0013909e-03  8.2223229e-04  8.9004352e-04
    90 :  1.4818155e-01  1.1168126e-01  1.4116826e-01
    91 : -1.3465030e-01 -2.9459528e-01 -2.7219369e-01
    92 : -1.3138652e-03  6.4338674e-04  1.3153518e-03
    93 :  5.6534590e-02  1.8455229e-02  9.8218013e-02
    94 : -8.7222922e-02 -8.0554104e-02 -2.3108109e-01
    95 : -4.0018728e-03 -1.4589471e-01 -1.5103318e-01
    96 :  1.6370819e-04 -7.5556063e-05  3.0844678e-04
    97 : -6.4242880e-02 -1.2588871e-01 -1.3573214e-01
