Number of elements 658
     0 :  1.6228476e-03  1.5313078e-03 -7.0426954e-04
     1 :  1.6740776e-04 -3.8571126e-04 -4.1438130e-04
     2 : -2.1422849e-05  1.1384483e-05  3.4442821e-05
     3 :  1.2915666e-13 -1.8186779e-13  1.3576552e-14
     4 : -9.9320016e-12  7.9471423e-11 -8.4606666e-11
     5 :  4.6696972e-10 -2.3175434e-10  3.2472203e-10
     6 : -2.7444778e-08  3.9785353e-08 -4.3112961e-08
     7 :  9.3682852e-03 -1.5844381e-02 -6.7962241e-03
     8 : -3.7541492e-03  1.8887568e-02 -4.3671385e-03
     9 : -2.4845259e-11  3.7488247e-11 -9.2898478e-11
    10 : -4.6727448e-10  1.4195475e-09 -1.8986860e-10
    11 :  1.1493247e-11 -1.2578246e-11 -1.0833522e-11
    12 : -1.6612103e-01  1.3894193e-01 -6.2773260e-02
    13 :  6.7823877e-08  1.2942722e-07 -6.8725817e-08
    14 : -2.2555950e-04  4.7945322e-05  4.8210931e-05
    15 :  1.2224168e-01  4.3632555e-01  4.0273199e-01
    16 :  1.6013338e-01  6.0578738e-02  1.5091468e-01
    17 :  1.2841715e-14  4.6181371e-14 -3.1402859e-14
    18 :  8.1854202e-08  2.4276095e-08 -1.3408701e-07
    19 : -1.6900411e-08  7.9170175e-08  2.8820526e-08
    20 : -1.8367208e-10 -1.0564415e-10  3.8721086e-10
    21 :  5.3408382e-02  7.0465946e-02 -2.5127005e-02
    22 :  7.3821967e-07 -8.1728368e-08 -1.8736709e-07
    23 :  6.2160760e-01  6.0170206e-01  4.3922835e-01
    24 : -1.3331296e-02  9.0799690e-02 -1.4414881e-01
    25 :  2.7959559e-01  5.7931136e-02  1.7547796e-01
    26 :  1.7562612e-03 -7.7607298e-03 -5.9234026e-03
    27 :  2.8692821e-11 -4.5179015e-11 -2.5525673e-11
    28 : -3.0455589e-06 -1.2439509e-07  7.7410487e-07
    29 :  6.2732221e-01  5.9589928e-01  6.6786866e-01
    30 : -8.9691857e-13 -8.7339266e-13  9.9303846e-12
    31 :  5.9500673e-01  2.6617809e-01  1.6175813e+00
    32 :  4.6675538e-01  1.9695298e-01  8.1278904e-02
    33 :  9.3232765e-05 -8.0160275e-05 -9.9813954e-05
    34 :  3.1419743e-08  1.1003177e-08 -1.0836510e-08
    35 : -4.1362241e-13  4.2494908e-14  1.8017153e-13
    36 : -4.0418899e-02  6.1193557e-02  1.6037906e-01
    37 :  6.7540066e-04 -4.2944122e-04 -1.5883177e-04
    38 : -1.1212715e-01  7.8679048e-01  5.2596178e-01
    39 : -4.7169129e-04  4.3106168e-04  1.1698546e-03
    40 : -3.9965720e-08 -6.4478091e-07 -3.3372069e-07
    41 :  4.7631262e-01  1.4139887e-01  1.5621027e-01
    42 :  1.1972097e-11 -6.6563323e-11  9.3016008e-12
    43 : -4.4937268e-02  1.8752383e-02  2.1417913e-02
    44 :  5.4447933e-01  6.2003399e-01  5.3920449e-01
    45 :  1.3983079e-01  4.9003566e-01  2.6143482e-01
    46 :  5.7224602e-05 -2.7045224e-05  5.1498696e-05
    47 :  1.5577804e-13 -7.7147971e-14  6.6657125e-14
    48 : -6.8599143e-06 -4.2320498e-06  1.5065431e-05
    49 : -1.1449744e-01 -4.0082886e-02  6.2426643e-01
    50 :  4.1716678e-04 -1.0306356e-04 -8.9126603e-05
    51 : -1.7696162e-02  1.1348938e-01 -2.4223119e-02
    52 :  9.0741732e-03  5.9871110e-01  2.3133900e-01
    53 :  1.7380575e-05 -1.0132430e-05  3.9706700e-05
    54 :  3.5089790e-01 -1.0435236e-01  8.3062201e-03
    55 :  1.4342561e-02  1.4492934e-01 -1.2125298e-01
    56 :  4.7601593e-03 -9.6850560e-02 -1.2069083e-01
    57 : -9.0900566e-02  1.0153498e+00 -2.4259127e-01
    58 :  1.8091198e-15  1.3876245e-15 -5.1744185e-15
    59 :  3.3831308e-03 -2.5493872e-03 -1.8666989e-02
    60 : -2.3562824e-02 -2.5797503e-02  4.5581816e-03
    61 :  7.9183377e-02 -5.3901941e-02  1.4989203e-01
    62 : -9.0576691e-09  5.3103689e-08 -1.4634393e-08
    63 :  1.5480327e-01  9.8654416e-02  2.8087605e-01
    64 : -5.0749887e-08  1.2933265e-07 -1.3153159e-08
    65 :  1.5306208e-01  8.1592985e-02 -3.6452425e-02
    66 :  1.8255964e-08 -4.0827843e-08 -2.3044201e-08
    67 :  1.8768046e-01 -1.7736981e-01  1.2359850e-02
    68 :  2.3508639e-02 -1.2944688e-01 -1.9333740e-01
    69 :  5.1594156e-01  8.5641727e-02  3.1162411e-01
    70 :  6.4657157e-04 -2.4944196e-04 -2.9348419e-04
    71 :  2.9001764e-02 -2.0916333e-02 -2.0702929e-02
    72 :  1.9309755e-01  3.9354976e-01  7.3631307e-02
    73 : -9.8147184e-03 -3.1311698e-03 -4.7996073e-04
    74 :  2.3870452e-12 -2.9862535e-11  1.7330706e-11
    75 :  3.6925218e-12  8.2806509e-12 -1.5231767e-12
    76 :  3.4773445e-01  1.0553476e-01  3.3280214e-02
    77 : -1.2368720e-07  8.6719219e-08 -1.6051254e-07
    78 :  2.9206858e-06  1.6824831e-07 -2.7828354e-06
    79 :  7.1176263e-12 -7.1802525e-11  5.1758570e-11
    80 : -1.4335944e-12  2.9505426e-12 -1.0606999e-13
    81 :  1.2747875e-06 -1.4096866e-06  2.3502035e-06
    82 : -1.3061582e-12  1.3681357e-12 -3.1033280e-12
    83 :  9.1291709e-08 -2.4885100e-08 -2.4787469e-07
    84 :  1.1224949e-01  2.6175504e-01  4.4339851e-02
    85 :  1.4725220e-03  1.1766951e-03 -3.3453024e-03
    86 : -2.6230335e-10  3.3406225e-10  2.4241117e-10
    87 :  4.1060430e-10  6.6362949e-09 -4.2450186e-08
    88 : -2.9972336e-01  5.6852113e-02 -1.3753076e-01
    89 :  5.8495497e-05 -1.6870235e-06  2.4980809e-05
    90 :  1.8405377e-01  2.6422569e-02  5.3238177e-02
    91 :  4.8540611e-01  1.7739610e-01  8.0267686e-01
    92 :  1.1588222e-05  3.4648848e-07 -5.1092331e-06
    93 :  2.3460786e-03  1.8148764e-03 -6.0058505e-03
    94 : -1.9648741e-01  5.7025597e-02 -1.0527487e-01
    95 :  6.7068608e-02 -6.9153080e-02 -1.9764408e-01
    96 : -9.1752126e-07  2.1276815e-06 -5.1208561e-06
    97 :  2.6154029e-02  7.7814650e-02 -2.4193737e-01
    98 : -3.7413646e-02 -1.2056707e-02  6.7749327e-03
    99 :  1.1119355e-07 -2.4702199e-07 -2.3678241e-07
   100 : -8.5355380e-07  4.2363769e-07 -5.5081410e-07
   101 :  8.8631636e-06  2.9234408e-05 -3.1955987e-06
   102 : -1.3465162e-01 -3.2050806e-02 -3.6670706e-01
   103 :  1.7943797e-01  4.4420424e-01  5.3817905e-01
   104 : -4.1887543e-04 -8.1819378e-04  1.5194266e-03
   105 : -9.5895996e-09  6.3363822e-09  5.5916063e-09
   106 : -3.1148676e-04  8.9374661e-04 -3.3635551e-04
   107 : -7.2279048e-09  3.2790269e-09  8.9191146e-09
   108 : -1.4932702e-09  1.3168576e-09 -7.3705717e-12
   109 : -8.4897514e-07  1.6264754e-07  3.6096955e-07
   110 :  4.4255518e-03  2.1748997e-02 -4.5154439e-03
   111 : -1.4803419e-07  4.8051475e-08 -1.5735409e-08
   112 :  1.1148091e-03  6.9037311e-04 -8.8739949e-04
   113 :  1.3244996e-01  4.1869482e-02  1.9824394e-01
   114 :  5.5914828e-03  2.7174780e-01  6.2065886e-02
   115 :  1.2664590e-01  3.8964029e-01  5.7592827e-01
   116 : -1.6251612e-08  1.4380057e-07  9.2415741e-08
   117 : -8.8166762e-05  1.6807521e-03 -4.7430663e-04
   118 :  4.0275749e-01  7.3110998e-02  8.4148835e-02
   119 : -1.1013598e-05  8.5229113e-06 -2.0405289e-05
   120 :  4.4408606e-01  6.0100125e-01  1.1043235e-01
   121 : -1.7051360e-09  2.0817568e-09 -1.8818388e-10
   122 :  7.7272035e-01  3.4983695e-01  8.2557458e-01
   123 :  1.7418506e-01  3.2747385e-01  6.9864182e-02
   124 : -4.5123343e-04  4.1432048e-05  1.3115408e-05
   125 :  1.2120575e-09 -1.5230111e-09  3.5899234e-10
   126 : -4.8426279e-07 -1.0904990e-05  3.5753510e-06
   127 : -1.2860162e-08  8.8220876e-09  1.0114678e-08
   128 : -3.1702010e-06 -1.0412285e-05  3.0950061e-06
   129 :  1.4336044e-01 -5.6523509e-02  2.1327615e-01
   130 :  2.9871357e-08  3.5171354e-08 -1.6935040e-07
   131 :  2.6250120e-01  3.2085844e-01  5.9882599e-01
   132 :  3.1590463e-09 -2.4504415e-08  1.1596064e-08
   133 :  1.4118612e-10 -4.0047401e-13 -1.4279209e-10
   134 : -1.3647060e-01  9.2710156e-02  1.6124290e-01
   135 : -1.6876025e-01  4.9435262e-01 -2.0842458e-01
   136 :  6.4620081e-06 -1.9034743e-04 -3.0094569e-05
   137 : -1.4328085e-13 -3.9603945e-14  2.0720457e-13
   138 : -3.4167909e-10  5.8474825e-10  1.0620757e-10
   139 :  1.8016153e-02 -3.5106121e-02 -3.6089989e-02
   140 :  5.9955679e-05 -8.9483421e-05  3.0476538e-05
   141 :  5.1107760e-08 -1.3486713e-07  1.4592382e-08
   142 :  3.9971511e-01  3.6611195e-01  5.2649739e-01
   143 :  1.4773452e-07 -4.1308050e-08 -1.3456975e-07
   144 : -1.2472257e-05 -7.1502903e-06  5.5433350e-05
   145 : -7.1659642e-12  9.4944655e-12  1.0417771e-11
   146 :  3.4390954e-02 -1.9784524e-02  5.8656731e-02
   147 :  1.8760962e-01  4.2396956e-02  1.5573978e-02
   148 : -3.5195839e-09  2.6781216e-09  8.6604960e-09
   149 :  8.1440112e-06 -4.3049658e-03 -6.8194351e-03
   150 :  6.9450770e-08  6.4583703e-08 -2.5217191e-08
   151 : -1.8283605e-01 -4.7863496e-03  9.6132715e-02
   152 : -1.5088463e-12  5.9982535e-13  3.0118880e-13
   153 :  2.5276479e-01  3.8381077e-02  5.8530827e-02
   154 : -1.5053688e-07  3.0003555e-07 -5.9719121e-07
   155 :  8.2401465e-05  3.5530768e-05  4.4897449e-05
   156 : -1.3808428e-08  9.2380065e-09 -3.5298769e-09
   157 :  3.9766606e-01  2.4536945e-01  8.1973062e-02
   158 :  7.2281025e-03  2.1539603e-01 -8.6771771e-02
   159 : -6.6594069e-07  8.6125442e-07  2.3102456e-06
   160 :  1.2302649e-01 -3.5881942e-02  1.3332272e-01
   161 :  6.5568132e-01  7.8866381e-01  4.3545925e-01
   162 : -5.4653411e-02 -3.2617175e-01 -5.7984433e-02
   163 :  5.0246029e-02 -1.9473624e-01  5.6971701e-02
   164 : -1.6068362e-01  3.4236594e-01 -3.0149431e-02
   165 :  3.1805124e-01  2.6407681e-01  3.7683369e-01
   166 :  1.8790479e-01 -5.6839723e-02  7.0625018e-02
   167 : -4.9629278e-09  1.2873811e-09  1.9786184e-09
   168 :  6.0574570e-04  1.2320668e-03  3.8993261e-05
   169 : -7.3982369e-09 -8.6734238e-09  6.1312047e-09
   170 :  6.2426833e-06  5.3645005e-05 -1.3244166e-04
   171 : -1.9279668e-07  8.6115232e-08 -2.4874230e-07
   172 : -1.3340961e-05 -1.0406760e-04 -2.4125092e-04
   173 :  1.4627552e-01 -6.9026602e-02 -5.7999805e-02
   174 :  1.0219958e-07 -1.3966334e-07 -1.2980176e-07
   175 :  4.1131926e-06 -7.5013560e-06 -1.5653890e-05
   176 :  2.4939220e-06 -1.6670557e-06 -1.2000933e-05
   177 :  3.5268980e-01  1.8394937e-01  1.2801850e-01
   178 :  2.4744930e-01  1.0862323e-01 -5.9500056e-02
   179 :  4.2821033e-01  1.4658348e-01  2.1830611e-01
   180 : -1.2150215e-01  6.7223902e-02  3.9097342e-01
   181 : -1.1426176e-01  5.0291494e-02  1.1377403e-01
   182 : -1.4896119e-03 -1.1534422e-01 -4.4113054e-02
   183 :  9.8916646e-10  1.9827989e-10 -8.4020195e-09
   184 :  4.3120942e-01  2.3242198e-01  2.2642463e-01
   185 : -1.4691777e-16 -1.7041782e-15  1.0699324e-15
   186 :  3.7832983e-06 -6.5572355e-06 -6.2278277e-06
   187 :  3.5704018e-01  4.7328615e-01  4.6853446e-01
   188 :  1.5419015e-08  2.1812995e-08 -5.4357798e-08
   189 :  4.0451459e-11  1.8230123e-11  5.8310615e-10
   190 :  2.5727374e-01  1.3705846e-01 -7.8471384e-02
   191 :  4.6642183e-03  1.5739152e-01  4.8018244e-02
   192 : -2.3298209e-01 -3.5451920e-01 -6.6354195e-02
   193 : -6.1743185e-06  3.5048966e-06 -1.3901030e-05
   194 :  7.4115536e-09 -4.8731746e-08  3.1917000e-08
   195 : -1.3098513e-11  3.0025063e-11 -3.4007527e-11
   196 : -3.2164594e-07  1.2862396e-07 -1.6063948e-07
   197 :  5.9101500e-02  3.1754865e-01  7.9183861e-02
   198 : -7.8909919e-11 -1.0228116e-11  6.2977421e-11
   199 : -2.1311315e-07 -9.4535297e-09  2.8503614e-07
   200 : -2.0305430e-10  3.1841349e-10 -5.6298834e-11
   201 :  2.7635452e-01  1.9088231e-01  3.3232440e-01
   202 :  7.4412387e-03  8.6785038e-01  9.8747281e-01
   203 : -4.9306658e-11  1.2817789e-10 -2.1411494e-11
   204 :  1.0053085e-01  8.1269675e-02  3.1798297e-01
   205 :  2.7464418e-01  9.7665744e-01 -1.3177453e-01
   206 :  3.6749245e-01  1.7057845e-01  4.2186117e-01
   207 : -2.8172095e-10  9.3887236e-11  4.6643410e-10
   208 :  4.5250603e-01  6.2523309e-02  5.4123389e-01
   209 :  1.3015031e-11 -2.0414755e-11 -6.8173068e-12
   210 :  9.2061059e-02 -2.1801317e-02 -4.6172543e-02
   211 : -5.7454962e-03  1.9577785e-03 -1.5928092e-04
   212 : -1.6629466e-01  3.4342410e-01  1.4021797e-01
   213 : -1.0103868e-01  1.9733701e-01  8.2007333e-02
   214 :  1.3142852e-03 -6.7183899e-04  2.3415085e-04
   215 :  3.9412822e-08  2.1660655e-08 -7.1759697e-08
   216 :  4.4269221e-01  3.3989137e-01  2.5767980e-01
   217 : -1.1824310e-11  9.2184296e-12 -1.0811877e-11
   218 :  6.6950303e-02 -2.5809344e-02  8.1690706e-02
   219 :  2.4428427e-01 -1.4967861e-01 -4.6175771e-02
   220 : -8.1290409e-08  2.8183715e-07  1.9396062e-07
   221 :  2.3641196e+00 -2.8056080e+00  2.1628332e+00
   222 :  1.3276116e-11  2.4936464e-14 -3.3281811e-12
   223 :  3.2267875e-01  3.3439494e-01  1.0325168e-01
   224 : -3.2593026e-07  3.7819909e-07  2.6976555e-07
   225 : -4.1822230e-08  5.4006910e-09  7.7727328e-09
   226 : -2.8070935e-07  1.2082959e-06 -4.6629517e-07
   227 :  2.8750657e-10  1.2379698e-10 -7.6345941e-11
   228 :  2.9915849e-13 -1.0376938e-13  5.5159801e-14
   229 : -3.3240559e-07  1.2703651e-06 -6.6535134e-07
   230 : -2.8568564e-10  5.0186900e-10 -1.8980172e-09
   231 :  1.0178990e-04 -7.5569052e-05 -2.3446797e-04
   232 : -9.4570323e-10 -1.6759673e-10 -1.9667966e-10
   233 : -3.0554318e-03  1.1206650e-01 -1.0994689e-01
   234 : -1.1341707e-07  5.2823386e-08  6.5851783e-08
   235 :  3.5876721e-08  3.4958058e-08 -7.2830937e-08
   236 : -1.9932651e-04  6.7698695e-05 -1.5174261e-04
   237 : -3.2514463e-01  8.0337125e-01  2.3546051e-01
   238 :  3.7129925e-15 -2.0017713e-15 -6.5824679e-15
   239 :  3.3065056e-01  4.0775394e-01  1.6058019e-01
   240 : -3.0363823e-08 -2.3650777e-09  1.5638985e-08
   241 : -8.8831974e-03  2.5812965e-03 -9.2246474e-03
   242 :  2.5610020e-05  3.2997730e-06 -4.2871403e-06
   243 : -6.7368594e-02  1.6383764e-01  3.3497767e-02
   244 :  4.2445816e-01  7.8559448e-01  1.0183989e+00
   245 :  1.3786103e-06  2.6828364e-07 -3.4420849e-06
   246 :  5.9720819e-16 -1.3604756e-15  4.1775292e-16
   247 :  2.7903523e-02 -1.3217030e-02 -1.5879769e-02
   248 :  4.5383360e-01  1.5431419e-01  8.2498977e-02
   249 : -3.4823654e-07 -3.9699854e-07  1.2805098e-06
   250 : -1.3615779e-01  2.3879672e-01 -7.3806557e-02
   251 :  4.8569347e-07 -4.0851034e-09 -9.3005942e-07
   252 :  2.8363430e-01  5.0973275e-01  6.4262106e-01
   253 : -4.0186779e-06  1.0544645e-06 -2.0807735e-06
