Number of elements 658
     0 : -5.7757518e-03 -8.2861537e-04 -1.8383135e-03
     1 :  1.0129332e-03 -1.7353713e-04 -1.0538696e-03
     2 : -6.5468095e-04 -3.3618262e-05  1.1758935e-03
     3 :  3.2802131e-12  7.8872291e-11 -2.2636477e-11
     4 :  3.9400966e-09 -1.0810160e-08  1.8335372e-10
     5 : -1.2690380e-08  2.2769146e-10 -1.2461620e-08
     6 :  3.2538705e-07  7.3948390e-06  4.1847593e-06
     7 : -2.2476918e-02  1.9164143e-01  1.0616131e-01
     8 :  3.1246225e-02  1.4831752e-01  3.1152534e-02
     9 :  8.3874285e-09  6.5179669e-10 -4.1732270e-09
    10 :  2.4264955e-07 -5.7620831e-08 -4.3469893e-08
    11 :  1.4495660e-09  5.4609447e-10 -3.0347710e-09
    12 : -2.6559554e-01 -1.7647331e-01 -2.5108949e-01
    13 :  1.5012430e-05  1.1214042e-07 -5.8956173e-06
    14 :  1.2983739e-03 -8.4369794e-05 -8.0252244e-05
    15 :  9.3039720e-03  1.2200038e-01  3.4491336e-02
    16 :  3.1976193e-02  3.6042663e-02 -1.6777563e-02
    17 : -8.7668708e-12  2.4294652e-11 -6.2700877e-12
    18 :  6.1846720e-06  3.7507232e-06 -9.7501044e-06
    19 :  4.9985831e-06  6.7012979e-07  3.1394204e-06
    20 :  2.3438135e-08 -2.3994602e-08 -5.4077569e-08
    21 :  8.1609334e-02  2.3067885e-01  8.4299279e-02
    22 :  2.1685546e-05 -4.9001661e-06 -4.5547102e-06
    23 :  1.1910493e-01  7.8029093e-02 -1.0764184e-01
    24 :  1.2644373e-01 -1.6046951e-02 -6.8132477e-02
    25 :  1.0078988e-01 -5.6209747e-02  5.6437459e-02
    26 : -3.4935661e-02  1.7001425e-01  9.1729210e-02
    27 :  1.6717219e-09 -1.8180068e-10 -2.5877164e-10
    28 : -1.1440213e-04  5.0658124e-05  6.0280662e-05
    29 :  1.2463931e-01 -4.9258484e-01 -2.5125233e-01
    30 : -6.6398761e-10 -7.7686279e-10  3.1680502e-09
    31 :  2.9021252e+00 -3.2519475e+00  2.0965586e+00
