Number of elements 658
     0 : -2.5805332e-03 -3.7195569e-03  2.7958687e-03
     1 : -5.7212350e-04  6.3164239e-04  8.7591109e-04
     2 :  9.2140374e-05  1.6866054e-06 -1.7629157e-04
     3 : -7.1562290e-13 -2.5711242e-12  1.0846016e-12
     4 : -1.8302976e-10  2.7416623e-10  3.4568980e-10
     5 : -9.8484080e-10  7.4598954e-10 -3.5809625e-10
     6 :  3.4533335e-07 -5.1454097e-07  3.3291296e-07
     7 : -1.7621017e-02  1.6709807e-02 -1.0767307e-02
     8 :  5.0933783e-03  4.8726243e-02  4.5868933e-03
     9 : -3.0070603e-10 -1.9467255e-10  6.4945282e-10
    10 : -1.2706900e-08 -1.1232106e-09  2.6825051e-09
    11 : -1.0233435e-10 -5.5559219e-11  2.3971772e-10
    12 : -3.0044269e-01 -1.1417615e-01 -2.9503094e-01
    13 : -1.6901777e-06 -2.0756509e-07  6.7973867e-07
    14 :  1.2947054e-04 -7.9340085e-05 -1.0625763e-04
    15 :  1.8129608e-01  3.6842912e-01  1.4372674e-01
    16 :  9.4223851e-02  7.2685031e-02  7.7353719e-02
    17 :  4.0007270e-13 -1.2450429e-12  3.9306444e-13
    18 : -8.5601084e-07 -1.8145866e-07  5.5777764e-07
    19 :  7.3876577e-09 -9.8691789e-07 -2.5290978e-07
    20 : -4.5102894e-10  1.6082052e-09  1.3901454e-09
    21 :  1.1842994e-01  2.4762672e-01  3.4101159e-02
    22 : -3.2280103e-06  1.0953951e-06  1.0635031e-06
    23 :  5.3554330e-01  1.7327388e-01 -5.3587037e-02
    24 :  1.1717546e-01  1.3706146e-01 -3.8103006e-02
    25 :  1.6830800e-01 -4.6822002e-02  8.5981005e-02
    26 : -1.4967230e-02  3.3627425e-02  1.3702122e-02
    27 : -2.2442274e-10  2.1215481e-10  8.3411755e-11
    28 :  1.7277003e-05 -6.1470262e-06 -7.4772241e-06
    29 :  5.8900302e-01  1.2719113e-01  9.6758848e-02
    30 :  4.1738927e-11  4.4639650e-11 -2.2391052e-10
    31 :  1.7275385e+00 -1.2554213e+00  2.2570659e+00
    32 :  3.0991995e-01  1.2012503e-01  2.9850154e-02
    33 :  1.8838457e-03 -2.4503520e-04 -3.3614230e-04
    34 : -3.4761658e-07 -9.1225351e-08  1.4384919e-07
    35 :  1.1228898e-13 -2.9910483e-12  1.1094081e-13
