Number of elements 658
     0 :  1.5242316e-01  9.9753118e-02 -9.2330174e-03
     1 : -7.4894354e-03  7.1297081e-03  9.2014111e-03
     2 :  1.7871732e-03 -9.7784344e-03 -1.8983168e-02
     3 :  2.3237784e-08 -2.8353064e-08  8.8106631e-09
     4 : -5.9288974e-08  7.2263398e-08 -1.1073288e-06
     5 :  3.3978697e-06 -1.6532013e-06  1.9946267e-06
     6 :  3.0139690e-05 -1.6663987e-04 -1.0675307e-04
     7 :  4.4304832e-02  1.2508794e-01  8.9053131e-02
     8 :  8.4046982e-02  1.3883134e-01  8.0464580e-02
     9 :  7.9171718e-08  6.3620919e-07 -2.0453524e-06
    10 :  1.8216737e-05  5.5177353e-06 -2.9396689e-06
    11 :  1.2120719e-07  1.0132464e-08 -1.9821949e-07
    12 : -6.8980294e-02 -4.9279317e-02 -9.7016621e-02
    13 :  3.4637402e-04  7.2483552e-05 -1.8501913e-04
    14 : -3.3387396e-04 -5.1927371e-03 -2.9749491e-03
    15 :  5.0434999e-02 -2.4830265e-02 -6.6474397e-02
    16 : -6.5291287e-02 -4.8687414e-02 -7.6745106e-02
    17 :  5.7745312e-09  7.4477165e-09 -4.9543393e-09
    18 : -2.9344084e-04  6.7951714e-05 -6.2521228e-04
    19 : -1.1909572e-04 -2.1061687e-04 -1.1639673e-04
    20 : -7.1298738e-07 -2.8683080e-06 -6.4830252e-07
    21 :  2.9228791e-02  9.3748190e-02  2.6824577e-02
    22 :  1.5373716e-04 -6.9320664e-05 -3.0974879e-05
    23 : -2.8831964e-01 -3.1381078e-01 -4.4142302e-01
    24 : -5.6610650e-02 -1.0198551e-01 -1.3480302e-01
    25 : -6.7046532e-03 -1.0078823e-01 -6.1362656e-02
    26 :  1.4623734e-01  2.2662902e-01  1.6107506e-01
    27 :  4.4684632e-07 -9.1659714e-07 -4.7185616e-07
    28 : -6.7878008e-04  1.4900271e-03  8.3924305e-04
    29 : -4.0557076e-01 -2.9194412e-01 -2.3426288e-01
    30 : -3.7485794e-08  8.9158066e-08  3.9879752e-07
    31 :  2.3574655e+00 -4.1646213e+00  5.0234485e-01
    32 : -5.2584776e-02 -6.3762357e-02 -4.3154361e-02
    33 :  7.1936913e-02  1.2298502e-02  6.5992779e-03
    34 :  3.5110194e-05  8.3641563e-05  8.5537165e-05
    35 : -5.3780655e-08 -1.3001561e-08  3.4055968e-08
    36 : -8.0019849e-02 -6.7523572e-02 -6.2988486e-02
    37 :  7.9029687e-02  1.4235126e-02  8.8569715e-02
    38 :  7.6538379e-01 -3.6517835e-01 -6.7871235e-01
